#{"t_start": 1512532589.3409646, "gym_version": "0.9.4", "env_id": 0}
r,l,s,t
-16.954605,119,-16.9546051699,22.801508
-17.207025,121,-17.2070246124,47.840073
-17.071324,120,-17.0713236454,74.094772
-16.576535,116,-16.5765346645,95.241337
-17.738438,121,-17.7384376938,117.74614
-17.185104,116,-17.1851038207,139.088183
-17.447417,119,-17.4474171915,161.660279
-17.159289,120,-17.1592885644,184.254916
-17.153526,122,-17.1535263037,207.632822
-16.206783,118,-16.2067832768,230.264046
-17.193327,120,-17.1933270492,252.76563
-16.22054,121,-16.2205397472,278.654791
-18.565075,116,-18.5650745556,305.161328
-17.60197,118,-17.6019698087,331.991784
-17.463132,121,-17.4631324058,359.071509
-17.561396,118,-17.5613957714,386.51125
-16.716806,119,-16.7168060736,415.097914
-17.087996,120,-17.0879961688,445.273455
-17.674348,118,-17.6743477924,473.244091
-17.142925,121,-17.1429245182,501.927031
-17.195982,121,-17.1959817584,530.119869
-16.840794,122,-16.8407937932,559.162762
-17.062678,120,-17.062678086,589.10326
-16.082444,118,-16.0824442807,617.437558
-17.317971,126,-17.3179709181,647.263239
-16.333718,120,-16.333717627,675.900518
-17.118105,123,-17.1181051211,706.232342
-17.428098,123,-17.4280981989,737.324621
-17.853373,121,-17.8533730924,765.693263
-16.557444,122,-16.5574443396,794.96247
-17.091994,120,-17.0919936615,824.790224
-17.402671,120,-17.4026714125,853.749012
-18.235957,126,-18.2359573694,882.647839
-16.963651,118,-16.9636511441,909.578886
-17.286864,120,-17.286864107,940.183452
-17.524862,119,-17.5248620114,967.996163
-16.852838,118,-16.8528375105,995.011569
-17.209036,119,-17.2090358639,1023.888776
-17.459213,120,-17.4592134838,1052.313569
-17.101973,120,-17.1019728766,1080.38808
-16.60477,121,-16.6047703958,1109.997717
-17.413839,122,-17.4138389787,1139.005984
-15.965598,121,-15.9655980484,1168.347901
-17.621773,116,-17.6217729622,1196.583603
-17.129526,124,-17.1295264766,1227.185252
-17.011466,121,-17.0114661044,1255.337368
-17.580272,119,-17.5802722353,1282.933714
-17.34838,119,-17.3483804657,1311.948549
-17.104918,122,-17.1049175943,1341.698127
-16.810911,119,-16.8109105575,1370.127347
-16.617921,118,-16.6179214222,1398.223273
-17.416419,123,-17.416418529,1428.96388
-16.044928,117,-16.0449277384,1458.452984
-17.473624,119,-17.4736235943,1487.725278
-17.55574,122,-17.5557396016,1518.675536
-17.990165,120,-17.9901650264,1547.574117
-18.92279,125,-18.9227898585,1578.483591
-16.759574,121,-16.7595739002,1610.092884
-16.931414,123,-16.9314143479,1640.530851
-17.751902,119,-17.751902039,1671.058485
-17.06964,119,-17.0696395415,1699.970116
-16.822001,116,-16.8220005796,1728.066309
-16.768718,117,-16.7687178916,1756.113981
-17.876487,122,-17.8764870515,1787.061737
-17.677344,121,-17.6773439776,1816.243777
-17.808511,121,-17.8085109861,1847.371314
-16.968035,120,-16.9680354391,1877.662613
-17.561595,122,-17.561594768,1907.492139
-16.289627,123,-16.289626764,1940.146198
-16.473378,120,-16.4733777848,1969.701261
-16.381414,122,-16.3814144487,1999.550875
-16.588243,122,-16.5882433404,2029.342715
-17.091984,120,-17.0919843422,2059.663218
-16.850945,117,-16.8509445386,2088.069274
-16.679023,119,-16.679022934,2117.341253
-17.526998,121,-17.5269982871,2147.146538
-18.160523,130,-18.1605225132,2178.006918
-17.555183,123,-17.5551833931,2208.27764
-17.369053,117,-17.369052927,2236.260128
-16.949302,119,-16.9493015031,2264.247224
-17.609043,125,-17.6090434119,2295.566798
-17.829467,121,-17.8294674727,2325.384874
-16.54815,121,-16.5481504856,2355.009669
-15.873588,114,-15.8735876247,2382.37916
-17.282333,119,-17.2823333305,2410.82335
-17.943983,119,-17.9439829648,2440.518363
-16.924594,121,-16.9245940402,2470.432102
-16.287354,126,-16.2873543214,2501.818309
-17.294929,122,-17.2949289124,2532.59835
-16.831803,121,-16.831802954,2561.911875
-16.917629,123,-16.9176294615,2591.729251
-16.71504,118,-16.7150398073,2620.66425
-16.434602,122,-16.434602346,2650.844036
-16.720285,119,-16.7202847225,2679.892075
-17.469153,119,-17.4691529863,2708.288059
-17.662264,121,-17.6622637103,2738.099854
-17.013653,119,-17.0136527733,2768.162094
-16.026534,123,-16.0265343053,2799.879278
-16.915589,124,-16.9155893301,2830.44164
-16.869193,119,-16.8691926851,2859.843289
-17.359958,118,-17.3599576808,2888.630739
-17.840624,126,-17.8406244213,2919.776629
-16.965062,126,-16.9650619919,2953.801741
-16.664476,116,-16.6644758948,2982.596015
-17.821915,124,-17.8219148712,3013.535395
-17.251722,121,-17.2517224987,3044.133567
-16.738938,124,-16.7389384556,3074.166996
-16.581852,119,-16.5818515441,3103.188639
-17.158927,120,-17.1589265894,3137.832031
-17.436942,119,-17.4369422852,3180.19426
-17.321691,118,-17.3216913014,3223.824437
-17.450236,120,-17.4502361818,3266.744473
-17.429204,121,-17.4292038218,3309.26185
-17.224952,120,-17.2249515954,3351.586243
-16.799329,123,-16.7993290025,3395.810416
-16.398038,120,-16.398037707,3438.698769
-16.481688,123,-16.4816882761,3481.921024
