policy_loss,approxkl,time_elapsed,serial_timesteps,nupdates,eplenmean,eprewmean,total_timesteps,explained_variance,fps,policy_entropy,clipfrac,value_loss,score
-0.000904714,0.0047675,422.17128443717957,2048,1,120.01,-17.23274756,32768,-0.010592222213745117,77,25.5884,0.0451538,5.79355,-17.2327475397
-0.00251787,0.0042276,913.9461209774017,4096,2,120.69,-17.21326892,65536,0.1839439868927002,66,25.6228,0.0369232,5.38924,-17.2132688681
-0.00225443,0.00400979,1404.5803768634796,6144,3,120.02,-17.07758803,98304,0.3087362051010132,66,25.6374,0.0328674,5.02363,-17.0775880534
-0.00170917,0.00348971,1915.109994649887,8192,4,120.53,-17.07094777,131072,0.3840104341506958,64,25.6152,0.0225372,4.83317,-17.070947766
-0.00246751,0.00373005,2416.410239458084,10240,5,120.24,-17.11606218,163840,0.4532971978187561,65,25.5588,0.0277863,4.60931,-17.1160622226
-0.00235922,0.0037287,2922.9111840724945,12288,6,120.43,-17.07038248,196608,0.5054163336753845,64,25.5611,0.0301117,4.36056,-17.0703825176
-0.00270673,0.00386288,3571.9637429714203,14336,7,119.88,-17.13875753,229376,0.5488785207271576,50,25.6392,0.0324921,4.06634,-17.1387575294
-0.00262153,0.00384374,4299.491958856583,16384,8,120.67,-17.05124664,262144,0.5859175622463226,45,25.5819,0.0291656,3.78836,-17.0512465737
-0.00232764,0.00368588,5006.937688827515,18432,9,120.62,-17.20557236,294912,0.6491608321666718,46,25.5347,0.0268372,3.39288,-17.2055724246
-0.00284943,0.0036845,5761.973568677902,20480,10,120.43,-17.08019583,327680,0.7162184417247772,43,25.5699,0.0284088,2.91125,-17.0801958304
-0.00283834,0.00407557,6521.559707164764,22528,11,120.6,-17.10122416,360448,0.7725407034158707,43,25.509,0.0323853,2.516,-17.1012241601
-0.00257197,0.00404018,7282.9782156944275,24576,12,121.04,-17.05727243,393216,0.8323799073696136,43,25.4056,0.0287567,2.10735,-17.0572724746
-0.00237013,0.00388239,7945.627393245697,26624,13,121.3,-17.01832511,425984,0.87348772585392,49,25.3268,0.0273102,1.75597,-17.0183251189
-0.00288295,0.00407515,8588.83580493927,28672,14,121.78,-16.86050866,458752,0.8957844600081444,50,25.3251,0.0340729,1.53912,-16.860508657
-0.00338949,0.00437642,9226.933631181717,30720,15,121.43,-16.91397971,491520,0.91283218562603,51,25.3215,0.0386139,1.34385,-16.9139797274
-0.00306258,0.004278,9813.402637004852,32768,16,122.22,-16.92341007,524288,0.9267994984984398,55,25.3054,0.0359528,1.1766,-16.9234100614
-0.00295676,0.00399421,10402.247055768967,34816,17,122.35,-16.83148137,557056,0.9415201507508755,55,25.2306,0.0293091,0.980737,-16.8314813333
-0.00333167,0.00430097,11004.2352039814,36864,18,123.12,-16.78177635,589824,0.9537298120558262,54,25.2104,0.0383148,0.803368,-16.7817763523
-0.00395129,0.00469775,11603.968778133392,38912,19,123.01,-16.77269496,622592,0.9602973014116287,54,25.1661,0.0434753,0.69281,-16.7726949195
-0.0033888,0.00424481,12189.501868247986,40960,20,122.86,-16.79277085,655360,0.9686695598065853,55,25.1563,0.0359497,0.570211,-16.7927708312
-0.00392885,0.00496704,12771.766258716583,43008,21,123.18,-16.8058676,688128,0.9746156353503466,56,25.101,0.0477325,0.45563,-16.8058676228
-0.0035122,0.00495734,13352.802572727203,45056,22,124.1,-16.64404613,720896,0.9792027063667774,56,25.0545,0.0474243,0.379515,-16.644046059
-0.00404636,0.0053288,13923.889833450317,47104,23,124.35,-16.61338245,753664,0.9838133025914431,57,25.0139,0.0538727,0.283115,-16.6133824834
-0.00438465,0.00542423,14491.448004245758,49152,24,124.63,-16.5835227,786432,0.9857698064297438,57,24.9785,0.0567535,0.234728,-16.5835226982
-0.005619,0.00633496,15045.82548570633,51200,25,125.9,-16.47737511,819200,0.9872728921473026,59,24.8951,0.071872,0.19779,-16.4773750921
-0.00644088,0.00633537,15579.911748409271,53248,26,126.99,-16.44201428,851968,0.9886796241626143,61,24.7992,0.0721924,0.156199,-16.4420142359
-0.00725635,0.00730473,16097.362929105759,55296,27,128.42,-16.51123353,884736,0.9901226190850139,63,24.7077,0.0916717,0.121174,-16.5112335577
-0.00744465,0.00682046,16611.710921764374,57344,28,133.66,-16.06074848,917504,0.9912857953459024,63,24.629,0.0811676,0.0844967,-16.0607484918
-0.00841785,0.00736215,17117.793226718903,59392,29,135.14,-15.90539341,950272,0.992770379409194,64,24.5373,0.0910645,0.0627133,-15.9053934479
-0.00868134,0.00835476,17567.203613996506,61440,30,142.28,-15.29520692,983040,0.9823024701327085,72,24.4863,0.108832,0.144571,-15.2952069239
-0.00891383,0.00872779,17996.97525525093,63488,31,151.56,-13.58109565,1015808,0.9841860625892878,76,24.3639,0.113373,0.146161,-13.58109566
-0.00587203,0.0074393,18427.220354557037,65536,32,168.09,-9.93651768,1048576,0.948353935033083,76,24.2421,0.092804,0.865976,-9.93651771402
-0.00565245,0.0068248,18866.1083714962,67584,33,187.58,-1.33561223,1081344,0.9393982738256454,74,24.1598,0.082605,1.53471,-1.33561226898
-0.00555179,0.00652529,19338.086893320084,69632,34,183.3,14.47033944,1114112,0.9257718995213509,69,24.0975,0.0778717,3.29395,14.4703394467
-0.00507688,0.00662905,19793.33164167404,71680,35,186.55,24.53239841,1146880,0.917974554002285,71,24.0877,0.0816681,4.6412,24.5323983881
-0.00579074,0.00729491,20236.1486120224,73728,36,172.66,29.70271162,1179648,0.9167685955762863,73,24.0106,0.0906006,5.1887,29.702711594
-0.005164,0.00674749,20673.615100860596,75776,37,148.05,32.44641815,1212416,0.8816362768411636,74,23.9881,0.0834076,5.58841,32.4464181208
-0.0056467,0.00634067,21107.79042506218,77824,38,136.3,32.42333684,1245184,0.8387114703655243,75,23.9729,0.0756104,5.40617,32.4233368451
-0.00422762,0.00574441,21538.64320230484,79872,39,128.1,30.73520463,1277952,0.8339234292507172,76,23.9157,0.0635132,4.8056,30.7352046002
