#{"t_start": 1512108121.4587715, "gym_version": "0.9.4", "env_id": 0}
r,l,s,t
-729.103011,118,0,20.907159
-754.015734,120,0,42.552642
-730.45974,118,0,63.797505
-742.235654,121,0,86.663015
-762.232752,121,0,109.448389
-752.866346,121,0,132.7062
-758.197353,123,0,156.109685
-748.477612,120,0,178.980657
-753.227302,120,0,201.152291
-756.148981,124,0,224.364201
-742.129164,120,0,246.420546
-756.230812,119,0,267.903923
-742.314642,118,0,290.42123
-747.355019,120,0,312.507442
-764.125436,122,0,334.887454
-747.42692,119,0,358.09103
-729.931736,115,0,379.660973
-735.298495,116,0,402.418594
-762.031775,119,0,425.744774
-756.456169,122,0,448.710703
-759.651035,121,0,471.051793
-753.528255,120,0,493.713063
-728.710025,118,0,515.778797
-743.564181,115,0,538.400442
-753.380425,117,0,560.140535
-743.336696,119,0,583.856036
-761.914105,119,0,605.669517
-741.200912,121,0,628.43489
-726.156069,121,0,650.772438
-757.382947,120,0,672.439786
-747.253734,118,0,694.170615
-772.210824,125,0,717.886069
-745.646741,120,0,741.016029
-741.746537,119,0,762.652495
-760.747286,118,0,786.480616
-749.756763,119,0,809.583989
-751.826611,124,0,833.746505
-769.583609,120,0,857.694448
-744.543814,120,0,881.69941
-747.198227,120,0,904.47325
-756.366151,120,0,926.878929
-755.921893,122,0,951.21868
-734.582433,116,0,973.012433
-754.31524,121,0,995.798491
-700.487355,118,0,1018.150978
-760.941399,124,0,1042.902044
-739.492599,119,0,1065.955189
-745.525021,120,0,1088.740517
-735.328423,121,0,1112.919155
-745.778305,117,0,1134.745543
-743.036751,121,0,1157.633519
-736.887214,116,0,1180.789661
-765.848703,123,0,1204.226373
-762.201174,119,0,1226.235294
-752.588995,120,0,1248.92174
-764.304553,121,0,1271.114666
-753.802101,122,0,1294.803358
-750.901393,120,0,1317.246826
-744.30412,120,0,1340.495299
-763.708811,124,0,1365.145302
-745.022992,119,0,1387.923854
-749.772682,117,0,1411.102954
-757.482595,120,0,1434.621638
-745.583022,119,0,1458.279965
-726.168011,121,0,1481.270661
-757.904012,119,0,1503.123553
-754.160912,120,0,1526.936126
-738.140045,118,0,1550.137528
-749.320672,121,0,1574.38194
-750.188401,118,0,1596.925099
-738.616099,119,0,1620.592613
-744.733428,122,0,1645.628212
-738.857421,120,0,1669.339038
-732.162921,117,0,1692.676784
-743.083033,120,0,1716.251631
-750.889563,123,0,1739.801822
-740.809472,118,0,1761.861444
-741.652052,117,0,1783.467352
-745.282627,116,0,1805.241875
-751.872588,121,0,1828.034778
-752.06248,120,0,1850.526072
-735.55495,120,0,1872.814137
-743.579012,116,0,1895.502343
-757.129523,120,0,1920.28307
-754.065676,123,0,1945.019775
-738.37996,119,0,1969.711943
-749.924677,121,0,1992.706423
-751.613653,119,0,2016.073915
-759.577757,120,0,2038.326037
-739.03284,126,0,2063.226927
-760.126551,121,0,2086.979443
-762.328525,125,0,2110.688302
-736.355243,119,0,2134.077705
-753.85207,122,0,2158.082873
-735.588979,120,0,2182.291522
-732.237168,118,0,2204.919678
-756.225881,120,0,2228.169067
-753.481769,119,0,2251.952208
-757.233495,121,0,2276.02552
-754.539263,122,0,2300.613514
-738.597064,119,0,2324.762944
-738.411555,120,0,2348.613446
-715.349312,123,0,2375.465224
-754.214937,124,0,2399.618312
-745.214285,119,0,2423.557638
-745.197309,121,0,2447.83989
-744.948552,119,0,2471.328606
-758.83591,121,0,2494.451014
-753.526625,120,0,2518.38887
-758.305016,120,0,2541.285927
-752.655873,122,0,2566.063465
-744.609602,118,0,2588.02662
-749.323348,123,0,2611.456844
-737.391453,116,0,2633.73765
-746.59591,124,0,2657.326182
-749.618301,119,0,2680.139647
-743.638847,120,0,2703.397385
-754.487179,120,0,2726.691874
-745.801468,121,0,2750.469982
-743.964861,118,0,2774.951619
-731.087305,116,0,2798.261944
-741.7976,121,0,2822.477731
-746.499692,119,0,2847.026669
-745.68909,121,0,2871.128667
-741.8678,118,0,2895.325391
-764.621955,121,0,2920.880223
-757.782189,119,0,2944.43789
-719.898276,120,0,2967.317395
-755.828819,121,0,2990.995126
-739.484874,118,0,3015.117937
-758.621908,119,0,3039.240796
-763.203799,121,0,3063.480833
-737.082517,120,0,3086.944561
-738.26213,125,0,3110.543
-719.520297,123,0,3134.210818
-753.711148,124,0,3160.03812
-736.087779,118,0,3185.086717
-770.44461,120,0,3208.745543
-739.105584,122,0,3232.750582
-747.380003,120,0,3258.034355
-736.043055,119,0,3281.992777
-770.801718,125,0,3306.944085
-758.163176,118,0,3330.010382
-744.114789,116,0,3352.65883
-746.335635,117,0,3375.160605
-753.353005,118,0,3398.175961
-742.186731,121,0,3421.589498
-758.90836,124,0,3445.572063
-752.690563,123,0,3468.390709
-730.298585,118,0,3489.687387
-765.145457,126,0,3513.286203
-745.579342,121,0,3537.479885
-749.395875,123,0,3560.912491
-753.45926,116,0,3585.533428
-737.536408,120,0,3608.602612
-751.010389,122,0,3631.956848
-755.308985,120,0,3655.237754
-741.902313,117,0,3677.962474
-746.231694,120,0,3701.646748
-754.5377,121,0,3725.247537
-741.79236,120,0,3747.510347
-768.96525,126,0,3771.828372
-746.87909,120,0,3794.44003
-745.232687,118,0,3816.419661
-752.429095,119,0,3839.238479
-744.643748,120,0,3862.155723
