#{"t_start": 1512763106.0547783, "gym_version": "0.9.4", "env_id": 0}
r,l,s,t
-780.900756,122,-0.802281546711,27.955622
-778.16722,123,-0.799356120659,57.810824
-777.037877,118,-0.796640266484,85.744394
-787.20164,120,-0.808159082402,114.994774
-791.507816,124,-0.812938950423,144.671294
-775.291028,122,-0.796720508724,172.96953
-787.502414,118,-0.80756571636,200.129356
-771.472612,119,-0.792333747973,229.531788
-774.551417,123,-0.795648194763,259.10927
-782.218959,120,-0.803457527187,287.547159
-784.475697,122,-0.80514649346,317.908143
-775.039482,118,-0.794919234318,346.75181
-743.451692,117,-0.763880217541,375.746995
-767.447065,118,-0.787078613345,405.132155
-773.580966,118,-0.794080557174,434.146041
-786.761616,122,-0.807942867133,463.45051
-798.812948,125,-0.821018566748,495.591528
-779.890007,122,-0.801240598132,525.935043
-772.69241,118,-0.793722835477,554.210016
-771.455991,118,-0.791414402117,583.287047
-789.554121,124,-0.811546361334,614.669331
-776.428374,118,-0.796948574509,643.439308
-762.930688,117,-0.782175547972,672.773377
-746.437472,122,-0.768433393649,704.410091
-788.192701,126,-0.810876962502,736.18872
-792.572844,124,-0.814196898447,766.43169
-765.542924,119,-0.785246001241,795.201415
-762.532593,117,-0.782371735345,823.1205
-759.933308,118,-0.779589325235,852.442331
-778.715662,119,-0.798861335259,881.630527
-779.834158,122,-0.801778414496,911.2366
-781.596463,115,-0.800503741339,938.724457
-765.514152,119,-0.785807058566,968.196761
-755.919716,120,-0.777308706852,999.01536
-772.991526,122,-0.794045247093,1032.462965
-761.774924,121,-0.783134673289,1062.380502
-770.210612,117,-0.789912923601,1091.238596
-776.877925,118,-0.796536481139,1121.516551
-787.269671,123,-0.809382161167,1153.068877
-761.615382,117,-0.781247015468,1183.753999
-801.803866,123,-0.823185633354,1215.505335
-783.66173,125,-0.805408372218,1246.814571
-789.605697,119,-0.80929833123,1274.756857
-781.273731,125,-0.804168254637,1305.576709
-766.612729,119,-0.786763499195,1336.42842
-768.356528,119,-0.788761688228,1366.525821
-791.788435,119,-0.81101108798,1396.160703
-780.025641,121,-0.80050357408,1428.466573
-767.459026,120,-0.78748148654,1459.516891
-767.367039,121,-0.788680553886,1490.221905
-776.600482,122,-0.798207293684,1523.016371
-770.476857,117,-0.789936119904,1556.449548
-780.328699,119,-0.799950464608,1588.732817
-775.349862,117,-0.795331819918,1619.00996
-779.429046,121,-0.799984508377,1650.246676
-776.600657,120,-0.796681531141,1682.800215
-777.596828,118,-0.797492862985,1715.352426
-789.045115,126,-0.81105185793,1748.765211
-765.770482,120,-0.786748716863,1781.129551
-775.210766,121,-0.795898288581,1813.669367
-778.266266,118,-0.798020140238,1845.308001
-779.769098,123,-0.801618412324,1879.192833
-771.123203,123,-0.792440294812,1912.681211
-804.87524,127,-0.82750766477,1947.229012
-769.204808,119,-0.790129039957,1978.024356
-776.241222,118,-0.796952306302,2005.408016
-791.035088,125,-0.813384686273,2035.394365
-770.027232,117,-0.78982128212,2062.864018
-776.226188,122,-0.79772099516,2097.353236
-799.215391,123,-0.819858145162,2126.715299
-774.597341,120,-0.795662432399,2157.446162
-784.726396,121,-0.805841736857,2188.681261
-777.755149,120,-0.797949036888,2219.194997
-778.159823,118,-0.798114957002,2250.254437
-768.454734,123,-0.790484898207,2283.054658
-769.721953,119,-0.790719754615,2313.491385
-773.521693,121,-0.795142966089,2343.877084
-792.6226,119,-0.812529242269,2375.067668
-780.016954,117,-0.799494669894,2406.394105
-774.927746,125,-0.797554906435,2438.555406
-784.676046,121,-0.806005147307,2469.693584
-755.195908,119,-0.775553040046,2502.367466
-787.257851,119,-0.807668350367,2534.211816
-771.325848,120,-0.791774376231,2565.86232
-777.29285,117,-0.796442363044,2597.234112
-768.014534,119,-0.788051828294,2632.319376
-792.245546,122,-0.813320109452,2664.768585
-775.201061,120,-0.796144102142,2698.80995
-774.854752,124,-0.796722458819,2732.718554
-786.207367,117,-0.805543523669,2764.408125
-782.991105,121,-0.803829742963,2798.925322
-779.751614,124,-0.801447719557,2833.674652
-780.844026,120,-0.801724143271,2866.786538
-786.582361,122,-0.807269684713,2899.49996
-779.890309,120,-0.800634557687,2931.739063
-780.659489,119,-0.800372819761,2965.577764
-789.156077,127,-0.81136273766,3002.460584
-772.395551,122,-0.794068187976,3036.978399
-787.227268,119,-0.806987767197,3068.712937
-781.828281,119,-0.802218975233,3101.959107
-774.231093,119,-0.79444893429,3135.279391
