fps,explained_variance,policy_entropy,policy_loss,total_timesteps,approxkl,nupdates,eplenmean,score,value_loss,clipfrac,eprewmean,serial_timesteps,time_elapsed
112,0.08616530895233154,25.2993,-0.000857605,65536,0.000929408,1,127.07,-0.939762949886,11983.6,0.0281219,-926.82920197,2048,581.8477730751038
110,0.08746647834777832,25.2756,-0.00103898,131072,0.000901356,2,127.19,-0.939624569179,11988.1,0.0251251,-925.74122579,4096,1175.2945399284363
110,0.09189128875732422,25.2295,-0.000822156,196608,0.000872339,3,127.27,-0.938278420036,11937.0,0.0228485,-924.2909021,6144,1770.3663203716278
106,0.09329855442047119,25.1813,-0.000996746,262144,0.000907962,4,127.27,-0.938622041826,11949.1,0.0251587,-924.56637806,8192,2383.3131511211395
108,0.09638762474060059,25.1648,-0.00099935,327680,0.000896312,5,126.86,-0.939495534391,11936.8,0.0265366,-925.74168258,10240,2984.713800430298
106,0.09957444667816162,25.1874,-0.00084315,393216,0.000824671,6,127.62,-0.93883926093,11897.4,0.0218536,-925.23340984,12288,3602.975605726242
104,0.10401487350463867,25.163,-0.000996016,458752,0.000880975,7,127.31,-0.938153989592,11870.6,0.0246506,-924.83469044,14336,4228.722790956497
106,0.10730665922164917,25.1458,-0.000857402,524288,0.000830241,8,126.84,-0.938877279365,11862.4,0.021106,-926.19243309,16384,4846.851756095886
111,0.11185741424560547,25.1073,-0.000890875,589824,0.000845591,9,127.49,-0.941114843916,11826.8,0.0215363,-928.47170068,18432,5433.937073707581
108,0.11464583873748779,25.0913,-0.00086341,655360,0.000847808,10,127.35,-0.939643088968,11790.4,0.0221527,-925.8275616,20480,6039.666603088379
106,0.11799865961074829,25.0535,-0.00096219,720896,0.000888214,11,127.36,-0.93908599338,11821.3,0.0240082,-926.2169524,22528,6652.538311243057
107,0.12260127067565918,25.0595,-0.00124893,786432,0.000940082,12,127.57,-0.940322240326,11801.7,0.0286514,-926.82083489,24576,7262.521027088165
107,0.12359678745269775,25.0369,-0.00105706,851968,0.000949351,13,126.76,-0.937843653161,11781.2,0.0285126,-925.12726465,26624,7872.8355321884155
106,0.1268497109413147,25.0366,-0.00106238,917504,0.000941714,14,127.06,-0.93952515616,11774.9,0.0289749,-926.1702251,28672,8486.007739782333
107,0.12881851196289062,25.025,-0.000957803,983040,0.000947945,15,127.02,-0.939652036034,11760.4,0.0275223,-927.54522729,30720,9096.584195613861
109,0.13125640153884888,25.0045,-0.00108632,1048576,0.000941641,16,127.35,-0.939187897118,11745.5,0.0278961,-925.21076784,32768,9695.370054006577
112,0.13622164726257324,24.9852,-0.00105126,1114112,0.000896433,17,126.94,-0.938171362244,11719.8,0.0258835,-924.48228402,34816,10278.678537368774
109,0.13869839906692505,24.9821,-0.00100051,1179648,0.000918218,18,127.71,-0.939866615798,11711.1,0.0265686,-926.55668256,36864,10877.79412150383
108,0.14259284734725952,24.9553,-0.0013176,1245184,0.00102028,19,127.48,-0.939424781466,11695.3,0.0314056,-925.39767387,38912,11480.510243415833
107,0.1440213918685913,24.9237,-0.00122487,1310720,0.000963619,20,126.97,-0.937557467193,11729.4,0.0279495,-925.00906202,40960,12088.938214540482
107,0.14787054061889648,24.932,-0.00112098,1376256,0.000918699,21,127.53,-0.940184951318,11704.9,0.0270828,-927.54008296,43008,12700.968658208847
107,0.15016919374465942,24.9326,-0.00116029,1441792,0.00094411,22,127.0,-0.93829731359,11699.8,0.0287003,-924.55111235,45056,13313.035054922104
106,0.15160894393920898,24.9122,-0.00100688,1507328,0.000910178,23,127.43,-0.94046191983,11682.5,0.0262787,-927.56333891,47104,13929.26580286026
106,0.15390771627426147,24.898,-0.00136651,1572864,0.00105196,24,127.53,-0.939130611971,11673.5,0.0368439,-925.20018577,49152,14545.969114780426
106,0.15659302473068237,24.8787,-0.000959241,1638400,0.000911219,25,127.96,-0.942162472565,11631.0,0.0262573,-928.74722868,51200,15162.590162754059
106,0.16065257787704468,24.8555,-0.0012486,1703936,0.000996001,26,127.22,-0.939313422271,11612.3,0.0314438,-925.6221582,53248,15779.46567106247
106,0.1628129482269287,24.8195,-0.00113305,1769472,0.000935487,27,126.8,-0.938448694717,11596.9,0.0277328,-924.36969944,55296,16396.336306095123
105,0.16758358478546143,24.794,-0.00115649,1835008,0.000953521,28,127.11,-0.939072359083,11579.6,0.0293884,-926.26771629,57344,17014.91820526123
105,0.17138683795928955,24.7679,-0.00117973,1900544,0.00104783,29,127.38,-0.940059354879,11554.0,0.034845,-926.25067423,59392,17634.024126529694
105,0.1726018190383911,24.7361,-0.000939304,1966080,0.00091143,30,127.4,-0.942429976867,11554.6,0.0252472,-930.44687868,61440,18252.689151763916
105,0.1754881739616394,24.7165,-0.00110739,2031616,0.000947814,31,127.07,-0.938652032994,11496.2,0.0289978,-924.61282255,63488,18874.73180770874
111,0.18005001544952393,24.7176,-0.00110382,2097152,0.000906232,32,127.24,-0.936882767384,11433.3,0.0273788,-923.10499021,65536,19460.421053409576
111,0.18269401788711548,24.6939,-0.00114539,2162688,0.000942662,33,127.46,-0.938474241231,11452.2,0.0278519,-924.88038073,67584,20047.114869356155
108,0.18535304069519043,24.6755,-0.00134509,2228224,0.000978115,34,127.72,-0.940267156762,11424.5,0.0307037,-926.88338753,69632,20649.582117319107
107,0.1859046220779419,24.6767,-0.00127181,2293760,0.000993724,35,127.76,-0.94073883111,11412.8,0.0334671,-927.73406557,71680,21257.717433691025
107,0.184766948223114,24.6664,-0.00102717,2359296,0.000840812,36,127.8,-0.941379266178,11429.9,0.0245651,-927.74990323,73728,21867.455174922943
106,0.18570995330810547,24.6815,-0.000813771,2424832,0.000874351,37,127.44,-0.939082884404,11477.4,0.024707,-925.94400814,75776,22480.78222823143
106,0.18597233295440674,24.6652,-0.0011623,2490368,0.000957677,38,127.4,-0.94133303622,11456.2,0.0306671,-928.38828439,77824,23093.875619649887
106,0.18767917156219482,24.6531,-0.0011367,2555904,0.00102122,39,127.84,-0.939816096274,11430.0,0.0332596,-926.63237699,79872,23708.7928378582
106,0.18858563899993896,24.6432,-0.0011489,2621440,0.00100661,40,128.09,-0.941254585531,11422.3,0.0337067,-928.47726131,81920,24326.88578605652
105,0.18950718641281128,24.6263,-0.0011194,2686976,0.00102474,41,128.04,-0.941411597359,11416.8,0.0340805,-928.63170286,83968,24946.18096756935
104,0.19009923934936523,24.6165,-0.0011753,2752512,0.00100825,42,128.01,-0.941245526754,11339.6,0.0324722,-927.63476412,86016,25570.98962044716
105,0.1913766860961914,24.6063,-0.00137686,2818048,0.00109946,43,127.88,-0.940789073173,11370.3,0.0394562,-927.52566519,88064,26191.67893385887
105,0.19111043214797974,24.5772,-0.00110959,2883584,0.000966046,44,127.98,-0.940906607057,11381.8,0.0300491,-927.82820977,90112,26813.28036594391
105,0.19076061248779297,24.5845,-0.00103587,2949120,0.000954503,45,128.07,-0.942275850308,11337.2,0.0295502,-929.57503362,92160,27434.77779650688
105,0.19228941202163696,24.5906,-0.00121259,3014656,0.00100377,46,128.01,-0.940285652623,11320.1,0.0350067,-927.15452063,94208,28057.203064203262
105,0.19457721710205078,24.588,-0.000931512,3080192,0.000937868,47,128.47,-0.940132906326,11314.8,0.0288864,-925.84653079,96256,28681.002386569977
105,0.1954742670059204,24.5735,-0.000913178,3145728,0.000965167,48,128.15,-0.941576224487,11332.8,0.0308319,-928.83900776,98304,29300.36125063896
105,0.19730716943740845,24.5753,-0.00117271,3211264,0.00106414,49,127.99,-0.941535711843,11299.3,0.0376801,-928.00058197,100352,29923.371966838837
106,0.19657927751541138,24.586,-0.00109323,3276800,0.00101363,50,128.12,-0.941092161378,11311.7,0.0342804,-928.3698741,102400,30539.919845819473
105,0.19755637645721436,24.5588,-0.00113791,3342336,0.000973882,51,128.05,-0.939079337873,11317.8,0.0304367,-925.97098539,104448,31163.008494377136
105,0.1977006196975708,24.5388,-0.00105672,3407872,0.000941472,52,128.68,-0.944406033839,11345.9,0.029599,-930.7221616,106496,31786.27158856392
104,0.19791072607040405,24.5338,-0.00116508,3473408,0.000988829,53,128.64,-0.942163724718,11330.5,0.0317703,-929.02009301,108544,32414.17503762245
104,0.19817137718200684,24.5186,-0.00104479,3538944,0.000977085,54,128.13,-0.939453503595,11310.5,0.0314743,-925.93350644,110592,33039.188700675964
105,0.2010520100593567,24.4889,-0.00132175,3604480,0.00106278,55,128.26,-0.940069827489,11312.1,0.0372574,-926.28137843,112640,33662.55121231079
105,0.2005465030670166,24.4733,-0.00107039,3670016,0.00103959,56,128.47,-0.940172448159,11283.4,0.0364868,-927.45456839,114688,34284.57512998581
104,0.20055490732192993,24.4493,-0.00134323,3735552,0.00110478,57,128.07,-0.940867495842,11296.0,0.0399384,-927.41786365,116736,34908.78237605095
105,0.2018459439277649,24.4397,-0.00117969,3801088,0.00101706,58,128.76,-0.941924247748,11285.3,0.0354294,-928.61971516,118784,35528.71450519562
104,0.20176440477371216,24.4191,-0.00121306,3866624,0.00105041,59,128.09,-0.941950507076,11286.3,0.0351273,-928.94532737,120832,36153.6966855526
104,0.20314210653305054,24.427,-0.00107469,3932160,0.000930228,60,128.75,-0.940971361206,11274.9,0.0296631,-927.84892047,122880,36779.02578854561
104,0.20147359371185303,24.4224,-0.00108281,3997696,0.00103716,61,128.29,-0.940898773512,11254.6,0.0354477,-926.99595214,124928,37405.59910488129
104,0.2021808624267578,24.4197,-0.00103973,4063232,0.000943309,62,128.56,-0.942703953922,11275.2,0.0292206,-929.46772234,126976,38032.02490353584
109,0.19998955726623535,24.414,-0.00120035,4128768,0.00102497,63,128.31,-0.94205336394,11254.4,0.0359985,-928.16209827,129024,38631.40599679947
111,0.20044785737991333,24.3766,-0.00108963,4194304,0.000992911,64,127.96,-0.939948180932,11239.9,0.0323425,-925.98575469,131072,39221.493059396744
108,0.20135414600372314,24.3681,-0.00130011,4259840,0.00102473,65,128.18,-0.941909337922,11229.6,0.0351837,-929.54734329,133120,39824.36994624138
107,0.20230811834335327,24.3521,-0.00119087,4325376,0.00100671,66,128.36,-0.942120125088,11266.1,0.0344498,-928.67452303,135168,40432.13427686691
106,0.20159369707107544,24.337,-0.00118917,4390912,0.000995929,67,128.22,-0.941412684524,11270.3,0.0323334,-928.12088094,137216,41045.584064006805
106,0.20288676023483276,24.327,-0.000877052,4456448,0.00100482,68,128.41,-0.941509299199,11261.7,0.0340851,-927.38863875,139264,41660.210476875305
105,0.20461010932922363,24.3282,-0.00129797,4521984,0.00103772,69,128.0,-0.94005748087,11231.5,0.0364426,-926.03661368,141312,42278.84148836136
105,0.2049596905708313,24.3058,-0.0013834,4587520,0.00112302,70,128.37,-0.940810312777,11242.7,0.0397293,-927.63208911,143360,42899.79229879379
106,0.2043566107749939,24.2946,-0.00107289,4653056,0.00104194,71,128.53,-0.941918716003,11190.0,0.0369995,-928.57910595,145408,43515.294283390045
105,0.20468151569366455,24.2712,-0.00105049,4718592,0.000985358,72,128.48,-0.940702119561,11206.5,0.0314148,-926.75279623,147456,44135.72650575638
105,0.20398962497711182,24.2604,-0.00123338,4784128,0.00100042,73,128.59,-0.943382230912,11235.4,0.0338669,-931.21502779,149504,44758.19847416878
