#{"t_start": 1512848498.4906774, "gym_version": "0.9.4", "env_id": 0}
r,l,s,t
-934.819958,127,-0.94230141165,34.893296
-922.666855,129,-0.929894535941,70.667852
-932.423227,129,-0.949335652889,107.451606
-926.944348,129,-0.944112904786,143.385269
-912.79413,126,-0.928621394675,178.79179
-921.05524,126,-0.937325330718,214.015101
-966.432168,133,-0.974587451754,251.707307
-915.822454,130,-0.934456852837,289.030003
-923.229325,130,-0.939972945495,325.183748
-913.473149,128,-0.930951603252,360.870035
-932.636922,128,-0.948756220447,396.921888
-934.482915,134,-0.953200670194,434.421194
-914.056823,126,-0.930002740358,470.524841
-963.457551,132,-0.971032474807,508.996509
-905.135336,125,-0.922146060676,545.674895
-932.861526,130,-0.950091369219,585.380309
-931.477107,128,-0.938179638548,621.758951
-928.50985,129,-0.935936512945,659.174062
-955.461016,135,-0.964075071614,698.097176
-935.134753,132,-0.952786020988,736.745488
-921.441349,130,-0.939140532818,774.548612
-910.378779,128,-0.927225443152,811.644147
-947.785589,131,-0.955401356249,849.807399
-940.647181,129,-0.947555912929,887.158127
-936.498796,126,-0.942246285753,923.827735
-914.925018,124,-0.920352644815,959.622997
-936.231922,127,-0.942564072315,996.579283
-947.561369,134,-0.956010038478,1036.903533
-946.314187,136,-0.965190795116,1076.662419
-943.384714,126,-0.94910466394,1113.219804
-917.175747,129,-0.934237088862,1151.188484
-916.613717,128,-0.933074779484,1189.464319
-901.757252,126,-0.918620410555,1224.775664
-918.478659,125,-0.934362086078,1260.550719
-933.591801,131,-0.941448579358,1298.254367
-921.015112,125,-0.936386176968,1334.400101
-920.948271,127,-0.938261253968,1371.769253
-925.798519,128,-0.943162808159,1409.585515
-942.803794,130,-0.948669804566,1448.679028
-923.81314,127,-0.940707469664,1485.464615
-939.856044,128,-0.946713999095,1522.908418
-992.675123,158,-1.01075660151,1571.006814
-920.654901,129,-0.927881980722,1608.93574
-947.70521,133,-0.965901016881,1647.458345
-939.475683,127,-0.945580468227,1685.678163
-946.458123,129,-0.953022404882,1723.951675
-912.760722,130,-0.930760342457,1762.330452
-932.562667,132,-0.9509225669,1804.194429
-919.347719,130,-0.937445368105,1844.183186
-934.721949,130,-0.952859238733,1883.297177
-937.092802,132,-0.944905795336,1923.092955
-909.197491,125,-0.915635022351,1960.410155
-939.962148,130,-0.956791284338,1999.456223
-936.740359,126,-0.942502371308,2037.004972
-923.259308,135,-0.931530194282,2078.00721
-930.296755,127,-0.946906401657,2116.750597
-927.93091,132,-0.946349059588,2156.319864
-925.68214,135,-0.944294371144,2197.780124
-910.992168,124,-0.926832023409,2236.243222
-940.233133,128,-0.947479171702,2275.650132
-923.044425,128,-0.940277011293,2315.711004
-938.454705,128,-0.945736190251,2352.595785
-917.617524,131,-0.93632747378,2390.575304
-999.936265,140,-1.00919218386,2432.382348
-900.85679,126,-0.917583061425,2469.479127
-943.262811,127,-0.949866679297,2507.111028
-932.630487,127,-0.949370921424,2543.854465
-963.122717,130,-0.970125452445,2582.803615
-934.859409,131,-0.951925615468,2621.733481
-942.413718,128,-0.949117938842,2659.713418
-926.655539,126,-0.942635548798,2697.445915
-933.571405,126,-0.939591229622,2734.405911
-922.5931,128,-0.940036297974,2772.084971
-931.311428,129,-0.948781708048,2810.254953
-926.458743,132,-0.944949545292,2848.50102
-933.357535,126,-0.938744359435,2885.609728
-968.746531,137,-0.977839795565,2925.699387
-930.068954,132,-0.947460545429,2964.376686
-908.637556,127,-0.925316825298,3003.027505
-922.992882,130,-0.931185271055,3044.391416
-925.528701,131,-0.943917679745,3083.821935
-927.608031,131,-0.944567127667,3122.980455
-924.390206,126,-0.931051934787,3161.204577
-925.153528,131,-0.943454012165,3199.837368
-931.465641,129,-0.937926132493,3238.785008
-914.280031,128,-0.931518122415,3277.264395
-919.525821,129,-0.937329100226,3316.152391
-900.610282,127,-0.917862721043,3353.805306
-920.202812,126,-0.936655568831,3392.153002
-916.146449,124,-0.93135431628,3430.830909
-929.430887,129,-0.936052567797,3471.089959
-928.033911,131,-0.945856599141,3509.696559
-928.695382,127,-0.935139540363,3548.817372
-921.619153,126,-0.938757701029,3587.436125
-954.574224,134,-0.963126232658,3629.58451
-947.578717,131,-0.955174972956,3670.338542
-937.769909,132,-0.955575626792,3712.332926
-921.185204,127,-0.93770224219,3751.445424
-925.477109,127,-0.941917013741,3790.558901
-935.165626,135,-0.953697019929,3832.085016
-933.939091,127,-0.939690533945,3871.761534
-945.291304,130,-0.952249667954,3912.491754
-919.328127,130,-0.936482214558,3952.14419
-924.543078,129,-0.941574020549,3992.469159
-931.489566,132,-0.949419228479,4032.993211
-942.093396,132,-0.959981324093,4074.737025
-949.513602,133,-0.95784030221,4116.646054
-918.648768,125,-0.93476845012,4155.419874
-937.533995,132,-0.955426987648,4196.941328
-932.54557,128,-0.949867428875,4236.954941
-923.727319,127,-0.940139874948,4277.913637
-908.525204,130,-0.926609108097,4319.102547
-913.69475,129,-0.931147548725,4359.39428
-940.441873,124,-0.946035543057,4398.372087
-913.389878,125,-0.929533962179,4436.633894
-924.984387,124,-0.941005729144,4475.289193
-941.820364,127,-0.948281243365,4515.505632
-931.767367,125,-0.937336954446,4555.156015
-930.790293,131,-0.948041166033,4596.447346
-900.491006,126,-0.917287644388,4635.538669
-927.985327,131,-0.935390077522,4676.520615
-921.821945,127,-0.938528054293,4716.371146
-903.214549,124,-0.919696036381,4754.055415
-950.888719,134,-0.969663428864,4793.229863
-919.786152,127,-0.936616039335,4830.770066
-927.121584,127,-0.933900583602,4867.916572
-931.001851,128,-0.938124306864,4906.362529
-950.996958,135,-0.969578641928,4945.193282
-933.655853,128,-0.950408904369,4983.48092
-919.339417,127,-0.936644710012,5020.687835
-928.021943,127,-0.943926724874,5058.454581
-939.023207,128,-0.945859710867,5096.363962
-939.063367,131,-0.946700742714,5134.896667
-907.55508,125,-0.913308025328,5172.079079
-913.852348,127,-0.930783143274,5209.626043
-925.251834,131,-0.943685488815,5248.163265
-938.741616,128,-0.944587590822,5284.983592
-918.711618,127,-0.935826833555,5322.607587
-940.432861,125,-0.946122533661,5359.168144
-903.192552,126,-0.919878929795,5395.969784
-935.938435,128,-0.942865689926,5434.461478
-933.104456,132,-0.951738944015,5473.377996
-924.44393,127,-0.94161397438,5512.845578
-920.150215,131,-0.938037689929,5551.760527
-925.567726,124,-0.931224687384,5588.69098
-929.785029,127,-0.946193413189,5626.829478
-921.821463,128,-0.939390356837,5665.672334
-913.940899,127,-0.930300962279,5703.996978
-919.613678,126,-0.936588054079,5741.466468
-935.641835,127,-0.941610252926,5779.572867
-945.802619,128,-0.952543337452,5819.277955
-924.727186,134,-0.944204257406,5859.971801
-951.593596,131,-0.959235144673,5899.298089
-957.638142,136,-0.967746922145,5940.810458
-940.851569,125,-0.946651201557,5978.274077
-922.069713,129,-0.939406459714,6017.591296
-923.549913,128,-0.928522679454,6057.582638
-908.316186,125,-0.924045762197,6095.414536
-949.490789,132,-0.957163246401,6138.122365
-911.827578,128,-0.928870000993,6177.009316
-932.621789,129,-0.949352740935,6215.334513
-929.963849,127,-0.946549857392,6255.081128
-939.557391,130,-0.945721800845,6295.175316
-918.672977,130,-0.9360400046,6334.933903
-920.796991,129,-0.937993792528,6374.458239
-937.230788,133,-0.955203213957,6414.672846
-928.132864,132,-0.947351971265,6455.348333
-941.529269,125,-0.946918114582,6494.055529
-934.678788,125,-0.939951699344,6532.779366
-933.725009,129,-0.940928275016,6572.386936
-919.1968,126,-0.937126782463,6611.149306
-924.055238,131,-0.941534870691,6651.658297
-906.790606,126,-0.924103702687,6691.691808
-945.707581,127,-0.952284521487,6730.750572
-913.141539,129,-0.930605452019,6773.078658
-920.150174,129,-0.937937875623,6812.617346
-922.215062,132,-0.940515016422,6853.569549
-914.346866,129,-0.932015343504,6893.495203
-925.816221,127,-0.943001669957,6932.37272
-932.414669,127,-0.94823678561,6972.406342
-918.008847,125,-0.934106630041,7011.239865
-924.209673,129,-0.941220324761,7050.817195
-940.130388,128,-0.956222901293,7091.487774
-944.61083,129,-0.951610325886,7132.429245
-918.748891,129,-0.936111472295,7173.013766
-914.553577,130,-0.932299150734,7213.192826
-922.490606,124,-0.938530945363,7251.625291
-912.521959,128,-0.929906240857,7291.101973
-937.484879,126,-0.943652128956,7330.787585
-936.684954,134,-0.955680110871,7371.708036
-930.93344,128,-0.947591454677,7412.747219
-911.548054,128,-0.929170736379,7451.390556
-928.250293,130,-0.945653434548,7490.984386
-925.688606,126,-0.941647699981,7530.925885
-938.207535,132,-0.955888178227,7571.900753
-926.016968,130,-0.944464654063,7612.385117
-928.595102,127,-0.934640461183,7652.309053
-942.925168,132,-0.950975170399,7693.478889
-914.326987,126,-0.931299894128,7732.497182
-916.166261,124,-0.931711949619,7770.47091
-920.992071,131,-0.940143407964,7810.256156
-912.034713,126,-0.928840526206,7849.275388
-910.424817,131,-0.928486517386,7890.386252
-945.548146,133,-0.964215811603,7931.640777
-942.30219,123,-0.946704963235,7969.98036
-935.695006,130,-0.942565099232,8011.007811
-927.617353,129,-0.935903719318,8052.568295
-926.650852,127,-0.942391379754,8091.315546
-931.816315,126,-0.947753919029,8130.014499
-904.915415,128,-0.922263779737,8170.091606
-912.026901,126,-0.928246150917,8209.732988
-926.073192,130,-0.943906924555,8249.866925
-924.934401,127,-0.930890966037,8288.657167
-933.107556,131,-0.940979964642,8329.320903
-958.15733,130,-0.955129263937,8369.700861
-920.614049,127,-0.937604159664,8409.446472
-939.905947,127,-0.945755637362,8450.022017
-926.808637,128,-0.943671912445,8489.485772
-936.401187,126,-0.952586507509,8529.039812
-945.88412,131,-0.9535088323,8569.664598
-930.225669,129,-0.947918325207,8609.677573
-925.935703,128,-0.943019651481,8649.323748
-938.728116,126,-0.944063624578,8690.82696
-916.199312,127,-0.933019880498,8730.150704
-932.578776,135,-0.952374077995,8772.462172
-921.013724,126,-0.937679451406,8810.205287
-932.385441,127,-0.949233665504,8849.39743
-908.159685,125,-0.925551857246,8888.417198
-911.832945,125,-0.928062271565,8928.079292
-963.007776,135,-0.970992253673,8969.701043
-918.880565,132,-0.93706261084,9012.229862
-909.207077,129,-0.926389212587,9052.565513
-942.130004,131,-0.960740233711,9093.237918
-942.79572,132,-0.960672047711,9133.836072
-917.471478,126,-0.933800771509,9173.121217
-937.510335,133,-0.956591375775,9214.545285
-927.002676,126,-0.943006999182,9253.017062
-917.245875,127,-0.93314552336,9293.342765
-925.502697,128,-0.941803308561,9334.518055
-912.057763,128,-0.928998900771,9374.730049
-913.307305,127,-0.930332659354,9414.203894
-945.271468,130,-0.952294285874,9454.524936
-915.881433,125,-0.932656851081,9493.356525
-932.378881,129,-0.950244336632,9534.371407
-925.921291,129,-0.94307462004,9575.08496
-941.730805,131,-0.949450505382,9614.330441
