clipfrac,explained_variance,approxkl,nupdates,time_elapsed,fps,serial_timesteps,eprewmean,total_timesteps,value_loss,score,policy_loss,eplenmean,policy_entropy
0.0358063,0.20938146114349365,0.00101858,1,580.470869064331,112,2048,-929.64049396,65536,11201.7,-0.942511676673,-0.00112599,128.29,24.2567
0.0378464,0.20965975522994995,0.00108645,2,1176.4099230766296,109,4096,-929.24787169,131072,11157.9,-0.942094222702,-0.00132441,128.41,24.2301
0.0425049,0.20832842588424683,0.00111981,3,1778.1814315319061,108,6144,-925.13119964,196608,11085.3,-0.938969255005,-0.00133727,127.95,24.215
0.0361191,0.20787930488586426,0.00102992,4,2399.443597316742,105,8192,-929.96605242,262144,11073.9,-0.943607893169,-0.00118403,129.0,24.2145
0.0361343,0.20814067125320435,0.00105019,5,3006.2989840507507,107,10240,-927.3945997,327680,11061.9,-0.940733880094,-0.00111441,128.47,24.1983
0.0350815,0.20876818895339966,0.00101117,6,3628.6199181079865,105,12288,-927.35869515,393216,11087.0,-0.941238987902,-0.00116777,128.46,24.1869
0.0355759,0.20895874500274658,0.00105043,7,4268.892164945602,102,14336,-927.64025733,458752,11093.5,-0.941087153495,-0.00116297,128.31,24.1468
0.0343796,0.20739871263504028,0.00102978,8,4899.830096006393,103,16384,-927.95623632,524288,11117.5,-0.94172863049,-0.00111342,128.2,24.1187
0.0276962,0.20800244808197021,0.000904662,9,5505.250948905945,108,18432,-929.6037588,589824,11171.8,-0.943285444834,-0.00108741,128.29,24.1209
0.0346329,0.20759475231170654,0.000989835,10,6127.205389261246,105,20480,-928.9217725,655360,11147.6,-0.94250052358,-0.00109231,128.28,24.1187
0.03004,0.20882928371429443,0.000973109,11,6759.557521820068,103,22528,-929.56902723,720896,11191.7,-0.943220227791,-0.00118563,128.36,24.0588
0.0339279,0.20797675848007202,0.00101026,12,7397.681364059448,102,24576,-929.8475765,786432,11187.3,-0.94390659011,-0.00111988,129.04,24.0357
0.0342819,0.20789986848831177,0.000993027,13,8034.866438865662,102,26624,-927.49554757,851968,11203.0,-0.941497931666,-0.00122305,128.29,24.0328
0.0401855,0.20837509632110596,0.00109876,14,8672.383587121964,102,28672,-926.89598205,917504,11212.5,-0.939541620362,-0.00124129,127.77,23.998
0.0331467,0.20869731903076172,0.000981538,15,9311.248238563538,102,30720,-925.79347592,983040,11224.8,-0.9393636058,-0.00103617,127.48,23.9996
0.0317062,0.2094479203224182,0.000992731,16,9929.629172325134,105,32768,-928.4338108,1048576,11192.3,-0.942564186524,-0.00119925,128.47,23.9888
