#{"t_start": 1512531663.845403, "gym_version": "0.9.4", "env_id": 0}
r,l,s,t
-82.554671,125,-17.8810336226,23.54311
-79.176309,120,-17.1348884847,45.967745
-80.306608,123,-16.559430427,70.489586
-79.702771,119,-16.2965819407,92.794393
-80.972319,120,-17.2523656193,116.544993
-82.327321,124,-17.5851025185,139.822213
-80.977807,120,-17.3143007221,163.128951
-81.002353,116,-19.5442093842,184.957772
-82.643228,122,-18.0540308649,209.08965
-78.702566,114,-19.0341972062,230.454338
-79.768605,123,-16.430504641,254.75748
-79.709817,118,-17.9718622001,277.834773
-80.792892,118,-17.4424105426,300.227597
-80.750461,122,-16.950796983,323.822025
-79.822603,122,-16.6838873511,348.481828
-78.33692,118,-16.8160288338,371.944116
-81.254844,121,-17.4077129696,396.039906
-79.724542,119,-17.0777166199,420.882941
-78.867892,118,-16.3383959641,444.539274
-81.139017,120,-17.3579167712,466.680225
-80.120496,117,-17.6594488236,490.028871
-80.278639,117,-16.959259001,513.918626
-80.499302,130,-17.4480198037,540.877273
-80.709541,121,-17.139698383,565.315624
-80.903051,121,-17.344268303,590.180954
-79.949586,122,-17.0355648463,614.94068
-81.401349,119,-17.8621004623,638.482001
-79.584281,118,-17.3020915287,663.393945
-81.11275,122,-16.78067014,688.131708
-79.601116,119,-16.7694766499,712.911509
-81.288755,120,-17.1583292405,736.492071
-79.252507,119,-16.3988613651,761.004617
-78.972067,120,-16.341711447,785.303816
-80.773081,121,-17.2957603502,810.31388
-81.509897,119,-17.718951684,835.265674
-78.308204,119,-17.0926867098,859.567293
-79.279397,121,-15.8829569959,884.246813
-83.039008,124,-17.9550983559,909.001931
-80.148414,120,-16.6125574019,933.497677
-82.300704,124,-17.3114302019,965.092642
-80.383954,117,-17.3891906256,996.096258
-82.776392,119,-17.9828099247,1021.971549
-82.678758,121,-17.8151187631,1048.915357
-81.257821,125,-17.2290296676,1075.205202
-79.919506,121,-16.7256877213,1100.608979
-80.596072,122,-17.0491977581,1126.032152
-79.483177,122,-16.7424441324,1151.422654
-79.208851,118,-16.8193870837,1175.576415
-82.58281,122,-18.0197196284,1202.996016
-79.791016,118,-16.857265818,1233.140332
-80.983584,119,-17.5748839544,1264.074652
-80.494302,122,-17.3703148749,1297.073516
-79.384433,119,-16.6451669033,1326.516459
-80.181562,123,-16.4694337144,1357.744755
-80.017518,117,-17.6094317677,1387.440027
-81.224206,121,-17.0643400031,1418.905704
-81.461418,122,-17.5639214596,1451.785533
-80.910385,122,-17.5828885847,1484.384364
-81.138926,121,-17.1123632639,1515.709188
-80.639954,118,-16.7546164454,1546.102965
-80.824155,124,-17.4271431531,1577.421917
-82.402511,123,-18.1128644685,1608.068475
-80.838794,119,-17.2603070774,1638.514097
-81.746044,122,-17.4017357287,1669.459325
-79.669132,119,-16.7331348356,1699.508299
-80.754276,120,-17.8956446192,1728.370228
-82.211197,124,-17.5080599986,1758.677495
-80.348527,120,-16.9505680776,1790.051364
-79.582514,116,-16.7998247378,1818.630947
-81.909713,122,-17.433578064,1848.163634
-80.185298,121,-16.6643742153,1878.748768
-81.860387,120,-17.2946832059,1908.428623
-80.979532,121,-17.6290289468,1938.547113
-81.634105,116,-18.4541350812,1967.34551
-80.122127,121,-16.8212671817,1998.146273
-81.859754,121,-17.1919430685,2028.322398
-80.510532,121,-17.2776977337,2059.756354
-79.88059,119,-17.2294244915,2088.290232
-80.190651,119,-16.731413829,2117.81174
-79.514931,118,-17.6993349234,2146.165888
-82.399488,122,-17.9102596769,2176.567535
-79.300476,121,-16.5042294532,2205.676681
-80.937693,121,-17.0167716983,2235.31631
-80.986848,119,-17.4019694733,2264.944114
-79.118424,116,-17.4303312615,2293.487166
-77.877438,117,-16.0283391807,2324.680992
-80.36943,118,-17.7897298759,2353.980973
-80.604612,117,-18.0931550549,2384.226091
-81.710882,122,-17.9961198279,2414.517461
-78.99162,119,-16.9087431828,2443.499652
-81.663216,124,-17.5110984247,2473.896288
-79.363857,118,-17.1720928883,2502.998265
-81.599511,124,-16.9527896204,2534.769293
-81.334494,121,-17.0734366838,2567.335719
-80.766048,122,-17.6832677972,2597.591929
-81.583706,120,-17.0778671298,2628.504425
-81.154426,120,-17.2617431671,2659.948521
-80.895267,119,-17.3948605682,2690.767552
-81.057455,119,-16.869058387,2722.656628
-80.156002,119,-17.2823803136,2753.323325
-82.536525,120,-18.0217425186,2782.733641
-80.143649,120,-17.0260117429,2813.454138
-80.934697,122,-17.1050363297,2847.577053
-81.883507,120,-17.2545185781,2878.226374
-81.249361,122,-17.0627932464,2910.940678
-81.550291,122,-17.3416734361,2943.167316
-80.411368,121,-16.6133189916,2974.192709
-81.159203,119,-16.854512855,3005.827518
-80.109207,118,-17.7229135359,3035.883187
-79.03078,117,-16.528042906,3066.360717
-78.466546,124,-17.0117977043,3099.413556
-79.757967,119,-16.422133839,3131.248054
-81.260421,120,-17.2666092212,3162.638051
-79.534522,118,-16.4965320289,3193.354737
-81.871946,120,-17.4130819591,3224.744958
-80.367286,121,-16.9367563403,3256.989801
-81.04438,120,-17.803063778,3289.035968
-79.540949,123,-16.7784752841,3320.643446
-79.841293,119,-17.0052773691,3352.960045
-80.053596,119,-16.7317198368,3385.842457
-79.1714,121,-16.2213056976,3417.65973
-78.665437,116,-16.588838757,3446.97357
-80.685046,119,-17.2672558691,3478.38744
-80.15121,122,-16.833957009,3512.013989
-81.330045,118,-17.4527503021,3544.69007
-77.895049,119,-16.4036847147,3576.597759
-82.380129,120,-17.7083236945,3608.324577
-81.579833,123,-17.6579504364,3640.395049
-81.202676,122,-16.8883370833,3673.736184
-81.088553,119,-17.4052291145,3705.8641
-81.370446,123,-16.8674415977,3738.022743
-80.202362,122,-16.7603448809,3766.841683
-81.943879,122,-17.6121372024,3797.491215
-79.586561,119,-17.1170530823,3826.48409
-80.71443,117,-17.0534100674,3855.692958
