score,policy_entropy,total_timesteps,fps,eplenmean,eprewmean,serial_timesteps,approxkl,explained_variance,value_loss,clipfrac,policy_loss,time_elapsed,nupdates
-17.1417518337,25.5708,32768,82,119.97,-80.4130553,2048,0.00150698,-0.0022263526916503906,98.8867,0.0697083,0.000201853,397.9146497249603,1
-17.0620633834,25.5659,65536,78,120.46,-80.57634842,4096,0.0010082,0.060190677642822266,97.2225,0.0331268,-0.000977481,813.0428967475891,2
-17.217596688,25.535,98304,72,120.01,-80.57764881,6144,0.00104097,0.13291001319885254,95.0809,0.0319519,-0.000963653,1267.7090017795563,3
-17.3253810914,25.5497,131072,62,120.76,-80.81042982,8192,0.000889283,0.1622651219367981,93.3987,0.0251007,-0.000764737,1788.6880297660828,4
-17.0864032637,25.5506,163840,64,120.13,-80.54587821,10240,0.000970064,0.18837016820907593,92.1094,0.0296692,-0.00103289,2297.198134660721,5
-17.100813019,25.5443,196608,62,120.36,-80.48338,12288,0.000975592,0.20963972806930542,90.3548,0.0309418,-0.00109998,2819.883141040802,6
-17.2284726884,25.5247,229376,60,120.81,-80.78263979,14336,0.000935732,0.22891926765441895,88.7418,0.0287109,-0.00107675,3360.75572013855,7
-17.1709287609,25.554,262144,61,120.74,-80.84949008,16384,0.000905381,0.24826550483703613,87.642,0.0262634,-0.000876188,3893.7895653247833,8
-17.1994283077,25.5318,294912,50,120.66,-80.64368674,18432,0.000962521,0.2693878412246704,86.1214,0.0293304,-0.00116674,4548.643101215363,9
-17.1772409335,25.5428,327680,44,120.69,-80.74869684,20480,0.000953232,0.28092098236083984,85.2942,0.0291016,-0.00128936,5286.100677490234,10
-17.0705903126,25.538,360448,44,120.29,-80.5262474,22528,0.00104885,0.29648280143737793,83.9939,0.0367615,-0.00140965,6018.210223674774,11
-17.1023081628,25.5068,393216,44,120.56,-80.68678454,24576,0.00112803,0.3130784034729004,82.8667,0.0384888,-0.00159,6761.4082815647125,12
-17.0829752703,25.4913,425984,44,120.75,-80.75549678,26624,0.00102457,0.33176010847091675,81.459,0.0330261,-0.0013121,7498.836700201035,13
-17.0015437363,25.4986,458752,45,120.59,-80.47005183,28672,0.00101117,0.3498747944831848,80.2682,0.0336487,-0.00136989,8214.130181789398,14
-16.9901843406,25.4647,491520,52,120.39,-80.57911061,30720,0.00102563,0.36806321144104004,78.8131,0.0338562,-0.0012917,8841.925053596497,15
-17.1153303577,25.4544,524288,55,120.79,-80.63398535,32768,0.000988835,0.39234888553619385,77.2262,0.0312592,-0.00123092,9437.07268166542,16
-17.0965716373,25.4405,557056,55,121.5,-80.9355124,34816,0.00106291,0.416958749294281,75.9882,0.0363678,-0.00132957,10030.264344453812,17
-17.0309006027,25.4099,589824,53,121.26,-80.78714939,36864,0.00109997,0.4478280544281006,73.9493,0.0381409,-0.00142282,10647.2793841362,18
-17.0841997839,25.4179,622592,53,121.34,-80.78433037,38912,0.00105004,0.4776238799095154,72.0006,0.0357605,-0.00131892,11254.578570127487,19
-17.0278133582,25.3951,655360,53,121.21,-80.85077166,40960,0.00116249,0.5062117278575897,69.9727,0.0423889,-0.00151474,11872.45947766304,20
-17.0978319797,25.3657,688128,52,120.78,-80.66954526,43008,0.00107043,0.5372321307659149,67.3921,0.0362579,-0.00149503,12500.024549722672,21
-16.9826044459,25.355,720896,51,121.29,-80.71765162,45056,0.00114239,0.5643948316574097,64.7088,0.0411621,-0.00156624,13131.701303243637,22
-16.921415789,25.3161,753664,52,121.09,-80.62507237,47104,0.00109146,0.5915764272212982,62.3506,0.0377411,-0.00145357,13757.625765800476,23
-17.0464732376,25.2979,786432,51,121.2,-80.7548123,49152,0.00108743,0.6134959757328033,60.8663,0.0386322,-0.00156489,14387.958014011383,24
-17.0793437964,25.2716,819200,51,121.08,-80.80957525,51200,0.000989054,0.6330771744251251,59.1524,0.0301086,-0.00130856,15020.36115527153,25
-17.0941796751,25.2653,851968,51,121.7,-80.95319444,53248,0.00104417,0.6500139236450195,57.0858,0.0360107,-0.00143007,15656.105071306229,26
-17.0682247475,25.2473,884736,53,120.95,-80.7370194,55296,0.00102593,0.6687067449092865,55.6076,0.0333282,-0.00138413,16265.471112728119,27
-17.0004794189,25.1941,917504,52,121.33,-80.82211237,57344,0.00114715,0.6808596849441528,53.832,0.0412537,-0.00164863,16890.474368572235,28
-17.0155287722,25.1858,950272,52,121.35,-80.93359938,59392,0.00102878,0.6890751719474792,52.2254,0.0350311,-0.00102389,17512.459886550903,29
-16.9052986756,25.1756,983040,53,121.49,-80.87864347,61440,0.00116289,0.7068711817264557,50.6272,0.0446472,-0.0017124,18126.556963443756,30
