#{"t_start": 1512266870.8193536, "gym_version": "0.9.4", "env_id": 0}
r,l,s,t
-83.238613,130,-17.7966579094,22.004411
-79.69623,124,-16.4810168585,42.716841
-79.972697,119,-16.2657506425,63.217768
-80.137061,123,-16.3212508457,84.793726
-80.945896,127,-16.4488678738,107.796451
-82.379634,126,-17.4378376561,130.094593
-80.991813,122,-17.0291907236,152.716688
-82.088671,122,-17.7841568043,174.567262
-81.060446,123,-17.0492027032,196.311273
-79.770351,123,-16.0639445531,219.315774
-78.886011,121,-15.8181375617,241.724008
-81.840643,129,-17.0915233329,264.510659
-81.240277,121,-17.7879338889,286.311805
-79.335763,121,-16.1795250345,308.764524
-79.857284,121,-16.1594763454,331.410508
-79.954023,121,-17.0242365378,353.066981
-79.536124,120,-16.3218485444,377.472013
-80.732654,119,-17.6860325121,400.199613
-79.831263,120,-17.0159179718,421.428827
-81.277566,122,-17.6028571257,442.919665
-81.015707,125,-16.7558000871,466.252219
-79.901083,124,-16.4795084968,489.130109
-80.882299,120,-16.632696121,510.966935
-78.518688,120,-16.051875721,532.721205
-79.246666,122,-16.1689149011,555.400091
-78.170736,121,-15.675974476,577.69053
-79.233576,121,-16.3615168734,599.645507
-81.571102,122,-17.2333058266,621.969415
-78.963273,121,-16.6152916911,644.302194
-80.284735,121,-16.5978603814,667.027247
-80.45415,122,-16.9001344604,689.753531
-81.077487,121,-17.3287741611,711.480942
-80.799977,122,-16.5216461037,734.727117
-79.900403,120,-16.3253398378,758.152279
-82.520587,128,-17.5901762375,782.630223
-80.445321,124,-16.5867453914,804.854748
-79.927144,126,-15.942874015,827.851805
-81.909819,131,-17.07211248,852.350771
-81.955591,123,-17.1352763352,874.890758
-80.180474,119,-16.7796390097,896.299972
-82.532848,122,-17.9074101163,918.328463
-79.705952,121,-16.7635790877,941.560581
-80.361568,132,-17.7128029098,966.434425
-80.872191,119,-17.2137228466,988.165011
-80.808567,122,-16.5647248975,1010.905132
-80.685487,126,-16.3579683364,1034.071107
-79.713964,119,-17.0295646423,1055.704141
-79.577307,119,-16.7937005033,1077.167571
-81.101891,127,-16.8300584665,1100.83813
-81.472287,124,-17.2829642884,1124.035019
-78.242942,120,-16.2673524366,1147.477888
-81.239919,123,-18.071714457,1169.728014
-78.882027,122,-16.2612709033,1192.854736
-80.431007,121,-16.5344998965,1215.590775
-79.632082,120,-16.8264887215,1237.602057
-80.163369,123,-17.1066664099,1260.642631
-78.653471,119,-15.5003758719,1283.144035
-79.469036,125,-15.7970524523,1306.436307
-79.202342,120,-16.3728022637,1329.317152
-80.937397,126,-17.0444250942,1353.116597
-82.827406,126,-18.4006897102,1377.695794
-78.753282,117,-15.9032809048,1399.445971
-79.762753,121,-16.570537759,1422.62682
-80.560392,123,-16.6296965948,1445.102259
-79.491981,121,-16.3024713069,1468.679109
-79.388817,122,-16.7276784496,1490.900052
-78.860348,123,-17.311324035,1514.636846
-80.062048,121,-16.3567871309,1537.272707
-80.687411,122,-16.7323903784,1559.448117
-80.926238,122,-16.853783335,1581.985081
-81.469242,124,-17.1557398808,1605.197045
-80.327096,124,-16.5879270253,1628.530509
-80.488319,122,-16.6056903822,1650.910211
-80.528452,118,-17.0905588018,1673.47222
-79.368025,120,-16.6063290143,1696.218135
-79.70956,124,-16.3007041201,1719.211475
-80.61969,121,-17.208833988,1742.135169
-80.580173,123,-17.3074812498,1765.337686
-79.635725,121,-16.035087434,1788.32169
-79.657142,123,-17.26361401,1811.942608
-80.393835,122,-16.5227615926,1834.771435
-79.342558,122,-16.2091602879,1857.091206
-79.453244,122,-16.5283717308,1880.090517
-79.724246,120,-17.0332584121,1904.612386
-82.094096,139,-16.43962177,1930.748678
-81.244154,123,-17.4175235159,1954.175985
-80.805778,129,-16.9855793371,1978.906528
-79.239807,122,-17.2387984997,2001.989269
-82.549986,122,-18.3986804159,2024.799636
-79.552399,122,-16.9232760587,2048.429654
-80.950371,129,-17.3445251787,2073.182549
-80.136872,121,-16.7710177809,2096.471498
-81.395769,122,-17.3368357093,2119.106337
-80.908014,121,-16.748582711,2141.320229
-81.342989,131,-16.6090714297,2165.410951
-82.889118,141,-17.2595608557,2192.132996
-82.348166,130,-17.4596289465,2216.98798
-81.07795,127,-16.2828595195,2241.300959
-76.557324,123,-15.4799688259,2264.848635
-81.740881,128,-16.990836939,2290.542112
-80.244873,125,-17.2515632943,2314.66899
-80.594652,128,-16.849451273,2338.593924
-80.072479,130,-16.4018071706,2362.768154
-81.967365,132,-17.4346335566,2388.450754
-81.241487,129,-16.536793803,2412.016736
-82.290189,126,-17.8431893597,2435.784637
-80.270246,127,-16.3441899862,2458.977572
-81.017901,122,-16.7950955571,2481.866143
-79.124881,124,-16.3925244059,2505.326458
-80.810419,127,-16.2287104365,2529.098178
-80.354899,122,-17.4212478428,2552.237689
-79.838393,121,-16.9033348391,2575.696538
-79.875788,121,-16.3250988993,2597.889027
-79.128133,121,-16.4370192947,2620.96319
-79.492783,123,-16.7994653663,2644.036565
-80.230255,124,-16.4373432483,2667.892524
-78.379198,122,-17.505313718,2692.036679
-79.163084,132,-15.6343456629,2716.681592
-81.286007,130,-16.5886523422,2741.420877
-77.723768,121,-15.6134062458,2764.67017
-80.13089,121,-16.1919221906,2788.569252
-82.157388,129,-17.0614723885,2813.891105
-79.976334,121,-16.5902822133,2837.131251
-81.142878,132,-15.9219274699,2861.447139
-81.552458,126,-17.2210941192,2885.273739
-82.648353,134,-16.3814840634,2910.573905
-81.507299,125,-17.8831777245,2933.862004
-79.074136,127,-15.6709931395,2958.068364
-80.608428,127,-17.0619287338,2981.83452
-80.387867,127,-17.4904441082,3004.677859
-80.142596,121,-16.8289666911,3027.095114
-78.008241,123,-15.6640864801,3049.41134
-80.401834,123,-16.6082465384,3072.957666
-80.70367,123,-17.5266516146,3095.476851
-80.194601,120,-16.7896586349,3117.296704
-79.739271,128,-15.5460057324,3140.394128
-79.546249,126,-16.1082551633,3163.44649
-79.427597,126,-16.3164572787,3186.207087
-79.188682,122,-16.1688498522,3208.784606
-82.13933,129,-16.8608656023,3232.449235
-79.937986,124,-16.1578445253,3254.788779
-81.233178,130,-16.52917029,3279.020614
-80.294222,122,-16.3337603665,3301.069817
-79.827547,123,-17.5834894297,3323.330639
-80.780865,132,-16.5472525646,3347.134626
-80.96682,123,-17.0260532348,3369.898817
-81.764128,134,-18.7639301396,3393.381785
-80.600882,129,-16.1118904191,3417.063702
-76.679798,119,-16.1309616688,3440.542495
-77.948571,124,-16.3325545058,3463.389875
-80.633614,127,-16.3019657606,3487.117221
-80.263596,120,-16.7331869846,3509.15201
-77.482993,123,-15.4933541523,3531.291515
-81.496654,126,-17.4388244208,3554.082337
-79.686894,126,-16.3588380646,3576.719188
-81.155635,126,-16.8980799813,3599.687643
-80.994184,120,-17.7529595442,3621.205424
-79.54997,127,-16.7217714677,3643.995321
-78.83226,129,-15.8725597661,3667.945522
-79.692307,129,-15.620565689,3690.926297
-80.453391,125,-17.141032804,3713.184822
-81.084368,134,-15.5000263641,3736.787661
-81.07187,128,-17.0206439339,3759.879631
-81.273738,125,-16.9237353216,3782.134406
-78.686002,132,-16.8305794991,3808.125141
-77.412132,122,-17.0201417179,3829.946631
-77.975638,124,-15.3106151109,3852.201204
-81.190535,136,-17.0444440158,3877.089394
-81.752427,124,-18.0834056661,3899.840929
-81.430641,124,-16.8765281503,3921.763923
-80.471489,123,-17.3263173671,3944.02285
-80.5839,123,-17.4801283058,3966.831803
-77.53423,125,-16.2367664966,3989.144515
-81.820639,132,-17.5967525516,4012.812416
-80.130601,130,-16.4457477119,4036.55001
-79.046641,137,-15.2013808369,4061.072177
-78.808618,124,-16.3456402201,4083.985174
-81.239696,121,-19.2022491056,4106.754547
-76.737401,131,-16.0587723745,4130.01482
-81.342006,129,-17.3398287501,4153.356041
-82.019282,130,-19.1261814016,4177.587438
-81.122312,122,-19.1475671225,4201.104678
-80.910809,130,-18.1792365281,4224.255146
-79.719943,122,-16.3093181956,4246.445106
-83.106223,142,-17.0055980243,4272.238254
-79.921105,128,-17.8646214149,4295.053314
-79.824747,129,-16.2670506956,4318.033526
-81.537435,129,-16.6982553043,4341.097721
-81.876137,132,-17.4297984242,4365.230988
-80.017113,125,-18.6420591643,4387.916566
-81.245488,139,-14.9638263751,4413.126972
-80.314417,138,-15.7060858835,4438.170532
-78.815425,127,-16.02376274,4461.401947
-81.127475,130,-16.4033886851,4484.937768
-80.618714,132,-16.543488081,4508.627087
-80.484873,126,-16.8134334134,4531.47366
-81.578204,135,-16.3477636152,4557.451964
-78.913898,130,-15.6670829626,4581.326713
-80.777722,129,-16.5408980595,4604.867743
-80.272938,127,-16.610826205,4628.246285
-78.418934,123,-16.0889760168,4650.608697
-81.063027,123,-18.0439351114,4673.033298
-82.785096,157,-14.5391779131,4700.825708
-80.853128,124,-19.2526542956,4722.496643
-82.803248,142,-19.621250411,4747.809464
-80.795939,128,-17.4262242348,4771.489569
-83.08522,144,-16.5321121022,4798.240329
-80.960913,132,-16.5185496482,4822.635911
-80.486117,133,-18.1759376838,4846.546433
-80.654384,131,-16.7305036652,4870.019654
-80.883827,125,-18.235546954,4892.667714
-78.906283,125,-16.5253723061,4914.582781
-82.620871,120,-18.6942462734,4937.881687
-80.493825,130,-16.8055552878,4961.165223
-81.104365,133,-16.997104048,4985.363623
-81.577488,128,-16.3771835359,5008.008509
-79.324268,132,-16.5488195782,5031.592026
-80.815307,132,-16.3524654649,5055.625918
-79.134079,131,-17.2783395434,5078.869317
-81.976554,136,-16.1092609533,5103.850074
-80.548656,143,-15.201587317,5129.95014
-80.234019,134,-16.815936281,5150.873188
-81.056932,141,-15.4578713219,5173.125918
-79.667925,158,-13.1940258397,5198.728189
-79.926397,138,-15.2350655547,5221.817716
-80.478838,137,-16.4555301954,5244.133488
-81.267543,138,-16.8986326657,5267.313879
-79.841607,125,-16.8841566531,5289.384145
-80.142838,148,-13.5347332869,5313.727228
-80.573815,133,-16.2357989029,5336.27811
-81.243626,138,-16.8205654707,5358.863729
-79.163064,131,-16.9845176268,5380.334872
-81.621489,145,-14.8449899026,5404.063502
-81.739202,149,-15.1477380098,5429.374316
-81.062417,128,-17.5155325855,5450.261745
-78.726853,130,-15.7837075865,5471.156178
-79.375946,145,-15.7960680995,5494.184296
-79.294488,125,-15.565650593,5514.374845
-80.093687,154,-13.9489475437,5540.602272
-81.133271,135,-17.4152826985,5561.823273
-79.672311,137,-16.0095648156,5583.771779
-80.673691,123,-18.7545166188,5602.715056
-81.090028,130,-16.1231202536,5625.295572
-82.171256,139,-17.292645746,5647.525446
-77.899639,135,-15.9136314561,5668.065167
-80.726499,133,-16.1714511762,5689.73371
-81.212841,137,-18.4983014614,5711.611658
-78.741137,138,-16.1216718368,5733.881716
-80.386612,154,-13.5614725546,5759.171908
-79.972234,139,-16.9096639032,5781.986286
-80.562991,136,-17.2336690209,5804.508206
-79.964865,142,-15.279376406,5826.646424
-80.109392,151,-18.8070566773,5851.103262
-81.291287,142,-15.8283961835,5875.183354
-80.978711,142,-16.1737985763,5897.676138
84.161888,243,63.9584585634,5937.751864
-80.61483,142,-15.6679486219,5962.170761
-80.069284,156,-12.5662121159,5986.446086
-80.540354,140,-16.2188974495,6008.078064
-81.556973,145,-14.9284903655,6030.796341
-81.005669,157,-15.8261979502,6055.347753
-81.053364,158,-14.0284837863,6079.855038
-79.442199,137,-15.9684906103,6098.877414
-84.453151,161,-19.9231184235,6124.746992
-81.953277,166,-13.6534018662,6151.597618
-78.189028,145,-14.6220996153,6174.616748
-80.547033,138,-15.464715689,6195.555804
-80.444306,139,-16.1546663701,6217.74776
-79.493944,172,-12.9122487163,6245.399394
-81.977375,146,-17.5656556633,6269.133875
-81.28705,188,-9.14400444022,6297.502263
-78.137287,155,-18.0425676595,6321.632322
-80.337602,144,-15.2613027417,6344.345636
-79.723216,142,-14.3813023001,6365.951294
-81.4691,151,-16.7351039904,6390.218026
-80.860532,136,-16.7361609614,6412.697025
-81.046284,362,22.9714799664,6470.770236
-82.077718,151,-15.5606393822,6494.695385
-79.789147,149,-15.1519830271,6518.892154
-80.998117,152,-15.2662168268,6541.680903
-82.288579,146,-15.8484303952,6565.419724
-81.394731,222,-3.76967536856,6603.927941
-80.249902,200,-6.99554505365,6640.18603
-78.7652,147,-17.3790174535,6663.155639
