value_loss,policy_loss,fps,policy_entropy,nupdates,eprewmean,score,total_timesteps,approxkl,clipfrac,time_elapsed,eplenmean,serial_timesteps,explained_variance
15.7191,-0.006306,88,24.9878,1,-80.5940028,-16.8081938505,32768,0.0106318,0.157339,368.659024477005,122.3,2048,0.9439109489321709
13.4864,-0.00606325,86,24.9737,2,-80.45203833,-16.664941138,65536,0.00951631,0.137732,747.6890573501587,122.73,4096,0.9429781548678875
12.8123,-0.00509699,86,24.9659,3,-80.49641012,-16.764558847,98304,0.00901426,0.127502,1126.2406783103943,122.81,6144,0.9459536001086235
11.2225,-0.00606715,85,24.9547,4,-80.51410929,-16.7891714063,131072,0.0110208,0.163278,1511.1639540195465,123.44,8192,0.9530012458562851
9.65136,-0.00661682,84,24.9374,5,-80.25488692,-16.8364053095,163840,0.0110779,0.165286,1896.829516172409,122.98,10240,0.9577244631946087
8.7768,-0.00603713,84,24.9193,6,-80.30595593,-16.6185288117,196608,0.0101379,0.148224,2285.536447286606,124.14,12288,0.9585251547396183
7.86362,-0.00558794,84,24.9082,7,-80.208742,-16.6182492791,229376,0.0111455,0.165417,2673.2702600955963,124.93,14336,0.9629941955208778
7.21017,-0.00655063,84,24.9069,8,-80.3950156,-16.678617756,262144,0.0114199,0.170602,3060.046183347702,125.6,16384,0.9679718650877476
6.43575,-0.00891031,87,24.8751,9,-80.31454109,-16.7215798065,294912,0.0115593,0.173694,3433.98193192482,126.52,18432,0.9719369634985924
6.0222,-0.00826292,87,24.8591,10,-80.54399816,-16.7088508003,327680,0.0118105,0.176938,3806.9289088249207,126.88,20480,0.974981440231204
5.21685,-0.00871979,87,24.8451,11,-80.30705428,-16.7760105955,360448,0.0122315,0.184024,4180.050956249237,128.62,22528,0.9784045834094286
4.93374,-0.00890244,88,24.8309,12,-80.24185149,-16.694493452,393216,0.0125538,0.190479,4551.736686468124,131.06,24576,0.9783098418265581
4.55519,-0.0104144,87,24.7729,13,-80.53516151,-16.6932553395,425984,0.0116084,0.174258,4924.236839294434,132.68,26624,0.9783802255988121
3.70811,-0.00841741,92,24.75,14,-80.2330942,-16.4968857589,458752,0.0134871,0.203909,5278.982683181763,134.34,28672,0.9816987738013268
2.96048,-0.00980231,97,24.7361,15,-80.36560728,-15.909583021,491520,0.0127225,0.190366,5614.747977256775,138.48,30720,0.9818913526833057
3.32048,-0.0101871,98,24.6861,16,-78.91235749,-15.2909459462,524288,0.0130612,0.195428,5947.175510168076,145.27,32768,0.9739325866103172
2.06308,-0.0107755,102,24.6244,17,-80.68179619,-15.1348546772,557056,0.012743,0.192236,6268.1909465789795,150.73,34816,0.9849736960604787
2.87461,-0.00976464,100,24.5659,18,-78.9894221,-13.9563944027,589824,0.0134908,0.201581,6594.695252656937,157.18,36864,0.971406714990735
5.19066,-0.00878026,94,24.4893,19,-75.81936288,-10.9832725579,622592,0.0153395,0.228662,6943.224404573441,172.0,38912,0.9508785456418991
14.2421,-0.00786173,86,24.4415,20,-57.92297265,-1.8519850621,655360,0.013986,0.209976,7321.753164052963,185.77,40960,0.9118378162384033
17.4407,-0.00728289,80,24.4015,21,-42.34485149,3.97998692297,688128,0.0145756,0.218759,7726.492441177368,190.44,43008,0.9123139306902885
30.3828,-0.00798336,79,24.3761,22,4.36979755,21.0970941597,720896,0.0141086,0.210617,8139.874545812607,195.7,45056,0.8981763944029808
37.3817,-0.00640599,76,24.3581,23,23.65824504,28.5479199745,753664,0.0147595,0.219037,8565.647231578827,195.21,47104,0.9004539325833321
48.5438,-0.00904423,75,24.3213,24,46.10129686,31.6961823397,786432,0.0145396,0.215714,8997.14540886879,175.53,49152,0.8990344405174255
47.0462,-0.00739575,74,24.3159,25,44.94934727,31.7843801477,819200,0.0136854,0.20441,9437.086450338364,176.19,51200,0.9095176085829735
44.8553,-0.00938504,75,24.2914,26,50.13406869,31.7846675924,851968,0.0141205,0.209409,9872.630475282669,168.67,53248,0.917865514755249
51.538,-0.0117347,77,24.279,27,66.18630248,32.8400066523,884736,0.0146782,0.216516,10298.162261247635,151.78,55296,0.8982468172907829
48.4129,-0.0117509,77,24.2729,28,63.45630489,31.4863844097,917504,0.0137542,0.202847,10720.018522500992,151.24,57344,0.9118177741765976
47.9791,-0.0115522,78,24.2498,29,66.96625554,30.8876207915,950272,0.0145283,0.21239,11135.34813785553,141.44,59392,0.9124363586306572
48.5346,-0.012811,81,24.2111,30,71.00236278,31.5119863134,983040,0.0157942,0.23157,11538.099925756454,135.03,61440,0.8610290288925171
48.4045,-0.0116615,84,24.1899,31,69.42473505,30.5566180405,1015808,0.0149344,0.216333,11924.876435995102,133.22,63488,0.8729442358016968
46.9797,-0.0124666,80,24.1399,32,75.82397583,35.0478392391,1048576,0.0154147,0.228168,12331.20234656334,139.7,65536,0.8397801071405411
43.8058,-0.0112666,85,24.0837,33,72.34296226,30.7640659018,1081344,0.0144264,0.213303,12715.815194129944,129.5,67584,0.819839671254158
42.1827,-0.0104277,84,24.0708,34,72.22762267,29.8619802101,1114112,0.0140104,0.203345,13105.131218910217,125.31,69632,0.7977485060691833
40.4013,-0.0108927,82,24.0644,35,74.42279977,31.6999341424,1146880,0.0143489,0.208469,13502.889375209808,128.59,71680,0.7905988991260529
38.4641,-0.0104706,83,24.038,36,75.95836823,32.5540525896,1179648,0.0139472,0.200409,13897.432976722717,127.84,73728,0.7837295085191727
35.9232,-0.00955577,83,24.0407,37,74.50106817,31.107714243,1212416,0.0129356,0.188556,14290.430879354477,125.27,75776,0.7856589704751968
33.334,-0.0107627,84,24.0404,38,73.80677663,30.3006882306,1245184,0.0140121,0.201843,14679.855041503906,122.66,77824,0.7751106023788452
30.9765,-0.0097916,83,24.037,39,75.07466589,31.2126838566,1277952,0.0134036,0.196143,15071.097174406052,124.23,79872,0.7813534289598465
29.2607,-0.00894374,82,24.0,40,75.58343598,31.5852098015,1310720,0.0134812,0.195975,15466.78536081314,124.36,81920,0.7890686243772507
28.5702,-0.00939137,82,23.9982,41,76.08289662,31.711463785,1343488,0.0134086,0.192017,15864.062771081924,123.95,83968,0.7800371646881104
27.2001,-0.00992659,80,23.9902,42,76.46988997,32.1523628817,1376256,0.0136512,0.196506,16269.27446770668,124.59,86016,0.7901007384061813
25.5334,-0.00914743,81,24.0012,43,76.72508159,32.2487120006,1409024,0.0138617,0.197324,16670.891943216324,123.94,88064,0.7896043360233307
24.3155,-0.00973478,80,23.976,44,78.26569754,33.5307949375,1441792,0.0138379,0.195172,17080.40989279747,125.93,90112,0.807166650891304
24.0048,-0.00827949,79,23.9524,45,79.16717282,33.7884528012,1474560,0.0135483,0.195377,17493.946205854416,125.29,92160,0.8063249886035919
22.0616,-0.0106486,80,23.9376,46,78.70629529,33.0859291822,1507328,0.0142752,0.203555,17901.193365335464,123.58,94208,0.8185475617647171
20.9513,-0.00818743,80,23.927,47,78.31232847,32.7571605904,1540096,0.0133462,0.191855,18309.289258480072,122.52,96256,0.8259002864360809
20.1438,-0.00900981,80,23.9451,48,80.1942127,34.1092725149,1572864,0.0140168,0.199933,18718.379380702972,124.59,98304,0.8330094367265701
19.0683,-0.00911869,79,23.9628,49,80.41749071,34.0259451262,1605632,0.0146494,0.210028,19132.090503692627,123.69,100352,0.8452890068292618
18.219,-0.0086332,78,23.9688,50,81.84406878,35.3776653383,1638400,0.01361,0.197119,19548.41012072563,126.09,102400,0.8552083969116211
16.323,-0.00847878,83,23.9643,51,82.00494987,35.4614002101,1671168,0.0145763,0.207755,19941.67284297943,125.26,104448,0.8660821914672852
15.4161,-0.00952407,81,23.9454,52,82.37955864,35.4619803114,1703936,0.0144992,0.203729,20342.035617351532,125.31,106496,0.877718985080719
14.7228,-0.00900364,83,23.9329,53,82.95958634,35.789568149,1736704,0.0144969,0.208133,20732.419528007507,124.99,108544,0.8847675770521164
13.9564,-0.00798523,84,23.9326,54,83.46532309,35.9817583919,1769472,0.0141701,0.203586,21118.353852272034,124.94,110592,0.8916694968938828
12.7918,-0.00954269,83,23.9147,55,84.00560137,36.7134729087,1802240,0.0146614,0.212033,21509.007912635803,126.05,112640,0.8997125998139381
11.8244,-0.00753677,83,23.9069,56,83.37247019,36.1188142744,1835008,0.0149283,0.212219,21903.149699926376,124.52,114688,0.906045101583004
