#{"t_start": 1512510697.3928742, "gym_version": "0.9.4", "env_id": 0}
r,l,s,t
-81.314397,159,-13.4346457224,29.376369
-78.542249,128,-14.7950241766,52.600031
-80.846602,161,-12.6355139198,82.431608
-83.956323,213,-7.00738880597,123.177162
-82.189305,212,-4.6310674719,163.982722
82.484138,225,59.6054116782,208.05871
-81.21758,145,-15.3639724723,235.505071
-79.820584,212,-3.29640219345,277.573436
-81.872615,153,-13.8094421282,307.453284
-86.095729,165,-16.0304767238,341.353834
-80.577655,138,-15.253364993,368.174047
-82.365044,192,-7.57380817821,407.021952
-82.794804,181,-10.2575267313,443.742105
-83.755588,207,-6.73456986262,482.52791
-81.030839,165,-11.4709496605,513.815478
-80.564032,152,-12.922463897,542.119219
-83.887214,153,-15.3965865586,571.37668
-80.822016,158,-12.063021784,601.199355
-78.041685,199,-4.34200287856,639.862017
81.117718,200,55.620947256,679.04874
-81.7771,210,-3.06525500352,721.323715
-79.386738,157,-11.5139224947,752.462861
-80.864685,160,-11.984371851,783.025805
-83.944581,210,-5.95949191124,826.279659
-79.332462,175,-8.46517956893,863.231459
-81.712975,155,-13.4685560161,894.565228
-81.861373,170,-11.0730627842,926.843483
-81.086742,130,-15.7369528748,952.43321
-80.149803,193,-6.06172634659,988.642552
-80.315415,180,-9.2670853234,1023.397256
-80.85408,148,-13.5574460061,1054.165114
-80.443861,155,-12.5994813225,1086.502279
-82.798983,153,-14.3241209743,1116.798482
-81.789669,181,-9.30181430437,1151.665515
-83.117515,168,-13.3050085739,1184.978368
-82.301315,184,-8.48810031806,1224.264992
82.1427,229,62.3912312176,1272.340163
-81.571675,213,-4.69718102145,1316.135325
-80.733528,181,-8.87499132511,1354.576336
-80.779841,152,-13.516854808,1385.152953
-79.962926,202,-3.90091268655,1424.879676
-80.726438,193,-7.94969062905,1462.765948
-79.877591,163,-10.335194671,1492.59217
-81.911453,158,-12.959374734,1523.762322
-79.532325,189,-6.74392059976,1559.932348
-80.480241,249,4.04788294869,1607.924083
-81.26124,237,2.06721648613,1655.53671
79.935918,240,61.9972484312,1703.171782
-80.435552,154,-13.748940543,1733.484956
-82.329878,176,-11.6417051623,1767.89412
81.553109,230,62.1836282494,1815.338776
-80.086472,184,-7.69506652063,1852.390785
-79.323594,170,-8.83706887948,1887.340588
-79.386414,166,-9.5050281442,1920.863822
-78.810927,175,-8.40080977601,1955.718973
-83.178446,244,0.917068070879,2004.547859
-81.390328,210,-4.63947032307,2046.927343
-83.121689,324,16.0389334267,2113.647836
-81.734443,183,-8.08282726697,2151.269588
-79.948451,168,-10.5458426736,2186.51823
-81.450241,249,4.58020920621,2239.316014
-79.410833,222,0.42106512272,2285.385758
-80.536351,172,-10.1739544902,2320.669757
-78.293879,262,7.8084705996,2374.910887
82.176812,203,57.0264334965,2416.308335
82.547418,209,59.2968337902,2462.714627
74.953111,231,61.0393972736,2512.210978
-82.124258,250,2.41284509878,2565.862987
-79.382809,247,5.56921862769,2619.735091
-80.180442,203,-4.49034761625,2662.810344
-78.078393,167,-9.41047540041,2700.44344
-81.505073,187,-6.71407268172,2742.124
87.246223,253,68.9470602759,2797.388226
76.984589,156,41.8229735574,2830.27985
81.697508,159,45.0390583098,2864.777629
-80.482986,152,-12.4964715079,2898.667073
-80.752471,148,-13.605577125,2928.322063
88.472727,181,53.8541819761,2966.592475
81.306902,192,53.5665826949,3007.078699
71.214815,197,51.2470557337,3050.66284
83.916995,150,46.3072732081,3082.127966
78.022154,140,37.0517828895,3111.647102
-80.105939,364,26.6685750942,3189.946028
84.940528,204,58.4726745713,3233.910298
-85.627663,196,-11.1460844196,3276.000578
79.652995,166,46.1599536018,3311.792198
-83.68236,184,-11.3474276827,3352.701095
79.536142,179,50.7048884971,3393.256791
77.427519,152,44.5314873776,3427.117357
79.853113,164,47.1239412167,3463.159281
85.194461,182,52.9176703311,3503.462091
82.226979,173,48.7342899207,3542.828018
85.573609,169,51.2883044865,3580.97191
-80.119449,259,5.5728395662,3637.478814
80.578358,175,48.9572382584,3676.006152
82.990497,151,45.8414124859,3709.414725
73.299955,164,45.8370965018,3744.127267
-79.230173,278,11.5798718583,3807.553989
81.857334,145,43.5502897525,3840.052105
81.808001,203,57.7238895536,3886.612108
79.854738,137,40.8560441935,3916.76887
79.10693,139,40.0667372877,3947.62383
75.087356,158,44.2824585858,3983.327145
89.16066,187,56.5083935591,4025.242589
-81.892341,226,-1.25027172793,4075.444868
85.754016,183,51.2252184131,4115.909326
-81.156712,272,8.56580895601,4175.255641
83.375584,206,57.3291886668,4220.191175
79.523003,163,47.6349641564,4258.878355
80.90538,184,51.238198328,4299.217059
84.322371,149,45.4563371315,4332.445387
83.714307,139,42.1558168182,4362.998232
82.517226,178,51.4254398459,4402.928126
82.195876,152,45.7436035296,4437.168318
81.725462,144,44.6269178073,4468.935787
75.02947,155,42.8332709865,4502.971825
79.502373,216,58.5774189135,4551.080185
80.14501,156,46.1025274869,4585.879182
80.462141,155,45.0910733621,4620.352046
75.941314,149,43.4583438104,4654.214311
80.970462,147,43.5754470277,4686.175661
-81.519402,269,8.44534750701,4746.236428
84.390615,125,36.8847654608,4773.274551
77.30274,161,45.4076170183,4808.784196
76.697215,148,43.6578490874,4840.290837
77.049994,166,46.1368517402,4876.459842
85.308388,142,42.2319372284,4907.964716
73.961793,153,43.5778140188,4941.314732
85.785548,136,42.207414585,4970.693305
83.826272,148,44.4152352421,5002.753093
83.156012,128,39.3304870054,5031.813694
77.261312,147,39.3056692338,5063.613392
85.834574,168,51.2560099357,5100.575325
82.08262,166,50.086952614,5136.865807
81.727101,141,43.4395535724,5169.06455
74.150109,170,47.0883828631,5205.355205
81.982238,136,42.1361714894,5234.264942
83.568837,131,38.9962472666,5262.487032
75.594244,163,45.9310440147,5297.120718
82.097579,135,41.7849205764,5325.777047
82.556385,172,50.3639977206,5362.47681
82.979026,157,46.3142723339,5395.697603
81.661205,133,38.5665820844,5423.658026
83.758988,153,47.4059681971,5455.34861
81.72174,161,46.6481889261,5488.011887
82.603123,135,40.6499558402,5516.055324
77.943128,133,39.0433498724,5544.757966
86.879558,142,43.2794933638,5573.705431
79.930886,152,45.63067972,5607.843704
87.621082,132,40.3872284011,5634.703306
78.216259,152,44.4803508033,5665.005024
84.101584,151,44.8136849096,5694.598394
81.438942,134,41.7145778437,5722.238836
87.793552,157,47.8625505708,5754.728298
76.65788,132,34.3556429745,5781.283642
82.346891,136,41.4432222886,5808.972152
82.035156,136,41.1684490556,5836.773008
82.800305,129,38.1983929241,5862.358643
85.386619,138,43.3717653377,5890.032779
79.32413,125,33.8301654151,5915.600778
82.265337,120,34.6924202156,5940.049594
60.384773,112,26.060691479,5962.399201
85.819429,124,37.4977077603,5987.629637
82.566019,142,43.7678407732,6018.738563
82.261044,129,39.9038641141,6044.542109
84.449564,135,41.9798635417,6072.003938
79.09829,135,41.6413340799,6099.177456
83.930169,135,41.199255265,6126.231816
87.421956,130,41.2313369103,6152.873739
85.212751,123,38.910149128,6177.37415
86.221762,128,40.2741656562,6203.870343
83.701162,138,41.371243891,6231.849347
79.849347,119,32.8906197238,6255.557086
87.002689,137,42.0462369527,6282.993075
85.677999,128,39.4348848029,6308.180443
86.080026,129,39.8599489824,6334.3221
69.843368,112,26.5484205117,6357.707576
85.278402,141,44.1795473034,6385.984705
88.507361,128,39.6603420263,6412.979334
81.712268,139,42.0635077253,6443.173052
84.696303,134,41.1446252636,6470.290041
81.523639,121,34.2006653468,6494.578542
85.373635,137,42.5494765825,6521.747017
85.665239,129,39.8036175802,6547.732214
84.291236,138,41.6623597313,6574.763008
87.506827,137,42.6720137107,6601.632853
84.185035,124,36.3181615429,6625.890749
83.080472,145,43.6048857894,6654.799156
89.028802,132,41.1262586276,6680.779381
83.720681,135,42.2627943512,6708.599286
