#{"t_start": 1512457165.6622837, "gym_version": "0.9.4", "env_id": 0}
r,l,s,t
-79.63672,123,-16.3691552466,20.007832
-83.411748,127,-19.1129396143,40.014602
-78.512618,117,-16.5400124074,58.613418
-81.129933,127,-17.1771355641,79.346189
-80.133168,118,-17.1588486502,98.315367
-78.47101,120,-17.2514590395,117.798398
-79.280546,118,-16.9049407851,137.450727
-80.904413,119,-17.4613628726,157.252022
-79.496571,122,-16.4019697517,177.027494
-81.332975,121,-17.0939917333,196.686742
-80.543377,119,-17.2598280928,215.674136
-80.779209,120,-17.0010790613,235.04172
-79.377145,118,-16.7644411592,253.836024
-83.0321,120,-18.0980733105,274.893691
-79.922684,118,-17.3479797561,294.537825
-80.317485,121,-16.7978445978,313.316691
-81.016299,120,-16.9736694468,333.451337
-81.952688,127,-17.2213410825,356.15711
-80.051668,122,-17.01437652,376.695668
-78.877882,118,-16.3809253551,394.865068
-80.515522,117,-17.788041924,414.562392
-81.369283,118,-17.6030794636,433.725832
-81.449525,118,-18.1862629283,452.617594
-80.220983,118,-16.6432032281,470.84806
-83.021486,127,-18.9703780647,492.278772
-78.365857,118,-16.7911877945,512.517515
-79.874431,118,-17.5082857587,532.203862
-81.799266,121,-18.0419163833,554.086062
-77.77582,118,-16.4500661412,574.151918
-82.125331,120,-17.3357377845,595.290137
-80.195835,119,-17.082900001,614.306495
-80.829389,119,-17.1349056457,634.604548
-77.73233,118,-17.1904331129,653.728941
-80.624749,119,-17.0268948619,674.017306
-80.855192,120,-16.9649644104,696.189051
-81.385172,120,-17.5108469208,716.367899
-81.255816,116,-18.7154301022,735.706245
-78.166457,123,-17.8397058846,756.086884
-84.003041,130,-18.6954551414,778.784724
-80.434485,121,-16.4193185933,798.93566
-81.032279,123,-17.3200469661,820.423276
-79.094199,120,-15.8556325214,840.45055
-80.885959,121,-17.2030350286,860.937955
-81.6886,121,-17.1894978103,882.103309
-81.875189,121,-17.8751420566,902.548269
-79.623643,122,-16.3820384812,924.192278
-81.173119,120,-17.5837943233,944.948112
-79.535322,118,-16.6605967949,966.478507
-79.962495,118,-16.9375765398,986.010405
-81.456609,120,-17.4389238686,1007.122851
-80.017709,120,-17.4978111203,1028.126638
-81.549882,123,-17.1804214607,1051.271044
-80.855159,122,-17.2078783732,1071.848227
-80.762875,117,-17.6425352879,1092.310284
-81.71856,123,-17.8157507791,1113.821835
-80.898828,123,-16.5599532444,1135.076224
-83.146225,122,-17.7711431049,1155.508002
-81.890307,125,-17.6137332711,1177.377847
-81.727281,118,-17.5128180025,1198.411984
-80.202014,120,-17.4606449115,1219.075921
-79.881013,120,-16.7441050305,1240.31993
-80.319915,124,-16.3395154263,1263.186152
-79.091403,120,-16.2162539509,1284.23474
-82.845241,128,-17.4373934427,1307.371259
-79.234109,117,-16.532523348,1328.432912
-79.933017,120,-16.814412365,1348.449932
-81.186887,118,-17.4575307997,1368.40655
-81.192554,121,-17.2598555258,1389.759641
-80.385048,119,-17.0365094984,1411.067233
-79.835015,118,-17.4444734097,1431.173988
-79.561095,119,-16.6011318577,1452.243384
-80.71778,119,-16.980242415,1473.835454
-79.63189,118,-17.0110688023,1494.171889
-80.170728,121,-16.8391054169,1515.387943
-81.08222,126,-17.3471308552,1538.551979
-79.392733,118,-16.2785698879,1559.550241
-80.281686,124,-16.2915755753,1581.104162
-80.282551,119,-16.605320349,1601.642247
-82.136806,121,-17.7472774455,1622.69116
-81.664653,119,-18.1426197101,1642.457048
-78.565154,120,-16.3761276624,1663.658816
-81.606143,118,-17.3045905251,1685.564958
-81.030496,124,-17.1887365036,1708.206934
-81.284654,122,-16.8351709252,1731.513295
-79.818172,120,-16.541665269,1754.294513
-82.40548,120,-17.7482145021,1775.889156
-82.330895,122,-17.2288357899,1797.770614
-77.847448,121,-15.829655566,1820.863226
-80.286725,119,-16.6495131981,1843.674939
-80.871219,120,-17.2531371175,1864.63155
-80.915996,120,-17.3996061452,1887.84671
-80.655211,125,-16.9232979804,1911.177965
-82.303806,122,-17.5727626952,1933.789319
-80.272607,120,-17.1898816103,1955.849612
-80.766178,119,-17.4496454178,1976.668756
-79.282474,118,-16.8535226551,1997.873088
-79.100002,116,-17.1011052584,2019.641037
-80.560451,121,-16.8692673133,2041.589978
-82.067219,122,-17.9439801338,2062.765213
