nupdates,total_timesteps,policy_loss,approxkl,clipfrac,policy_entropy,score,serial_timesteps,time_elapsed,value_loss,explained_variance,eprewmean,eplenmean,fps
1,32768,-0.00204961,0.00144619,0.0642883,25.5707,-17.1899923746,2048,334.5473372936249,101.712,-0.025046467781066895,-80.61699022,120.03,97
2,65536,-0.00257154,0.00142425,0.0647003,25.5692,-17.1416606313,4096,678.1025829315186,98.5238,0.08589613437652588,-80.6491201,120.56,95
3,98304,-0.00238697,0.00138731,0.0611328,25.5631,-17.1391371686,6144,1030.9714198112488,94.3995,0.20666885375976562,-80.48558173,120.0,92
4,131072,-0.00291846,0.00149936,0.0706299,25.5654,-17.1476907134,8192,1388.062502861023,91.1233,0.2561732530593872,-80.56500773,120.36,91
5,163840,-0.00298681,0.00148144,0.0687927,25.5672,-17.2214587848,10240,1753.2624924182892,89.4635,0.2884608507156372,-80.77389163,120.39,89
6,196608,-0.00249694,0.00141806,0.0633514,25.5623,-17.0956654538,12288,2129.255672454834,87.59,0.3164525032043457,-80.56200358,119.82,87
7,229376,-0.00259971,0.00146493,0.067804,25.5494,-17.0748249773,14336,2506.651458501816,85.3319,0.34975916147232056,-80.61301828,120.08,86
8,262144,-0.00288704,0.00150818,0.0713837,25.5484,-17.1636895734,16384,2875.1906023025513,83.3894,0.37903380393981934,-80.73944064,120.42,88
9,294912,-0.00266425,0.00149029,0.0696533,25.5449,-17.2504821814,18432,3232.9585258960724,81.3888,0.4106345772743225,-80.62603279,119.77,91
10,327680,-0.00273887,0.00149011,0.0701263,25.5535,-17.2242090728,20480,3598.1667108535767,78.9172,0.4443225860595703,-80.79366753,120.21,89
11,360448,-0.00299352,0.0015642,0.0747498,25.5588,-17.192186773,22528,3963.568503856659,76.2568,0.4753226041793823,-80.73556081,120.13,89
12,393216,-0.00269128,0.00148456,0.0704987,25.5602,-17.0026004741,24576,4328.427058935165,73.7532,0.5072580575942993,-80.56458572,120.12,89
13,425984,-0.0030651,0.00155862,0.0753693,25.5617,-17.0996143437,26624,4691.539475440979,70.4825,0.5358752906322479,-80.61134126,120.21,90
14,458752,-0.00310937,0.00159549,0.0778595,25.5511,-17.0362810227,28672,5062.753096103668,68.0329,0.5670878291130066,-80.73194084,121.09,88
15,491520,-0.00295055,0.00158089,0.0772675,25.5481,-17.0108648846,30720,5429.753193616867,65.905,0.5947293937206268,-80.50426723,120.18,89
16,524288,-0.00282749,0.00155126,0.0750153,25.5561,-17.0523449914,32768,5791.671282529831,63.4902,0.6162348091602325,-80.57257349,120.08,90
17,557056,-0.00279961,0.00151169,0.0713776,25.5606,-16.9020875631,34816,6157.570415735245,61.5017,0.6315842568874359,-80.58626443,120.53,89
18,589824,-0.00219617,0.00149159,0.0691986,25.5627,-17.0211704125,36864,6533.127214431763,59.177,0.6531795561313629,-80.72971268,120.5,87
19,622592,-0.00309955,0.00162049,0.0806183,25.5523,-17.0415495472,38912,6903.228562831879,57.7589,0.6690780222415924,-80.69274531,120.56,88
20,655360,-0.00246401,0.0015666,0.0756195,25.5398,-17.0933532825,40960,7274.98600769043,55.9582,0.6783226430416107,-80.70168151,120.4,88
21,688128,-0.00268817,0.00153629,0.0731842,25.5334,-16.9373647484,43008,7648.241915225983,54.2767,0.690701961517334,-80.55227377,120.38,87
22,720896,-0.00288953,0.00159816,0.079306,25.5209,-17.0127716129,45056,8014.216911077499,52.5663,0.7022843062877655,-80.63574291,120.47,89
