#{"t_start": 1512501409.031068, "gym_version": "0.9.4", "env_id": 0}
r,l,s,t
-78.139914,127,-15.5725082281,19.083942
-81.149091,146,-16.1573566758,41.611804
-79.530241,123,-16.7047483838,59.269924
-80.955085,136,-17.0169828905,80.521332
-80.224905,132,-17.0165741737,100.164101
-81.508189,122,-18.3362942427,120.123536
-80.72397,128,-16.9765161379,140.101896
-80.952404,130,-17.123519966,161.190026
-79.982819,127,-18.8046500885,180.954101
-85.788082,134,-19.8771269358,202.834882
-78.9983,128,-15.6620772719,224.109654
-79.577373,135,-15.4554061062,245.612178
-79.710798,131,-18.3688783023,266.368915
-79.228583,134,-14.9866757538,288.469028
-81.863107,131,-17.5641409843,309.998377
-82.490847,141,-16.4146270076,335.123342
-79.863517,128,-15.8498152523,354.546621
-81.08959,133,-16.9887995418,375.408886
-79.075109,127,-15.8997251766,395.766644
-81.347166,144,-15.2639321636,417.178888
-81.20798,129,-16.7624548592,438.008074
-80.812077,132,-16.006123339,459.47685
-79.76633,130,-19.1649887286,481.24103
-79.554865,129,-16.8032911648,502.556649
-82.342937,138,-16.3460997198,524.769907
-78.796948,120,-16.636993906,543.449281
-79.242835,128,-15.8428323178,563.031146
-80.36695,129,-17.4854145286,584.093393
-82.082196,127,-16.7044673339,604.800169
-79.841755,127,-16.1816126223,625.823319
-80.513592,155,-14.0692748593,651.142443
-81.297355,136,-16.0005455832,675.580891
-79.977166,131,-15.0720784266,696.67506
-81.190735,135,-16.0405723413,718.316687
-79.794054,133,-15.7880911214,739.527334
-81.013238,125,-18.4103324056,759.077109
-81.895193,135,-17.4849563515,781.639574
-77.859615,166,-11.741087075,808.782295
-80.047025,124,-16.519642855,829.426201
-81.393965,132,-17.049623871,851.166912
-80.483674,133,-16.6698366599,873.183406
-79.10077,124,-16.9527461297,893.192883
-80.70923,138,-15.9693106663,916.409443
-79.189644,128,-15.9916423537,936.450318
-77.813218,124,-15.925846883,956.87673
-79.317424,129,-15.8807554151,976.78874
-80.463519,121,-17.5838250325,997.438569
-80.071768,135,-15.9278277057,1018.922108
-80.32593,130,-16.07254709,1039.6279
-80.930238,127,-17.7747704319,1060.284913
-79.559261,139,-15.3810059546,1082.161861
-81.938358,129,-18.1550429454,1103.57873
-80.038423,129,-17.847779533,1124.197234
-80.243823,138,-16.0532256336,1145.702806
-77.519878,144,-14.2491765178,1169.133375
-81.088789,127,-16.4756510355,1190.410725
-79.802693,128,-15.8947647101,1210.338252
-80.35093,132,-16.7514657625,1231.087072
-79.506547,130,-16.7154453147,1252.155849
-79.802362,128,-15.5865589433,1272.635609
-80.376381,134,-15.1574798773,1293.013705
-80.427646,129,-16.4111883406,1313.293496
-78.434531,123,-16.3207820283,1334.563282
-80.178724,127,-16.5785622523,1354.322348
-81.071727,138,-18.629090091,1375.314495
-79.733568,123,-16.0977158886,1394.978468
-81.609416,146,-14.8181471652,1418.661629
-78.737785,134,-15.260706118,1439.783284
-81.221545,139,-16.4904097344,1462.653775
-80.446914,130,-16.79229965,1484.250924
-79.797304,124,-16.4601120511,1504.020502
-81.031858,134,-16.8862026297,1525.723865
-82.409398,130,-16.8851276803,1547.388942
-78.529226,122,-16.0284663713,1567.298049
-79.884479,129,-15.8592612504,1588.296589
-79.958628,129,-17.0856382095,1608.727938
-79.769065,144,-18.0431934453,1632.456598
-80.674656,133,-16.360025029,1655.782075
